t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
2.716,0.0461,1.03,0.6417,0.9173,0.9539,0.0689,0.0689,0,0.8695,0.9311,0.1,2024-06-20 17:27:33
4.4002,0.0539,1.2507,1.0553,0.9089,0.9461,0.0683,0.0683,0,0.8707,0.9317,0.1,2024-06-20 17:38:15
7.1799,0.0488,1.3267,1.7496,0.9143,0.9512,0.0687,0.0687,0,0.8701,0.9313,0.1,2024-06-20 17:49:14
12.1064,0.0523,1.2775,2.9816,0.91,0.9477,0.069,0.069,0,0.8697,0.931,0.1,2024-06-20 18:00:09
16.7298,0.0511,1.3041,4.1371,0.9107,0.9489,0.0692,0.0692,0,0.8692,0.9308,0.1,2024-06-20 18:11:06
20.0926,0.0534,1.3582,4.9759,0.9095,0.9466,0.0686,0.0686,0,0.87,0.9314,0.1,2024-06-20 18:21:58
23.0013,0.0513,1.4902,5.7003,0.9113,0.9487,0.0684,0.0684,0,0.8702,0.9316,0.1,2024-06-20 18:32:49
25.1729,0.0518,1.6734,6.2384,0.9098,0.9482,0.0688,0.0688,0,0.8695,0.9312,0.1,2024-06-20 18:43:31
26.4665,0.0535,2.0211,6.5527,0.9074,0.9465,0.0685,0.0685,0,0.8696,0.9315,0.1,2024-06-20 18:54:27
27.1804,0.0509,2.4617,6.7208,0.9107,0.9491,0.0686,0.0686,0,0.8699,0.9314,0.1,2024-06-20 19:05:20
27.5464,0.052,2.884,6.8015,0.91,0.948,0.0689,0.0689,0,0.87,0.9311,0.1,2024-06-20 19:16:09
27.7431,0.049,3.1679,6.8443,0.9156,0.951,0.0687,0.0687,0,0.87,0.9313,0.1,2024-06-20 19:27:01
27.8868,0.0483,3.4139,6.8743,0.9145,0.9517,0.0685,0.0685,0,0.8701,0.9315,0.1,2024-06-20 19:37:54
27.9698,0.0499,3.578,6.8905,0.9142,0.9501,0.0689,0.0689,0,0.8696,0.9311,0.1,2024-06-20 19:48:31
28.0392,0.0524,3.7455,6.9031,0.9081,0.9476,0.0688,0.0688,0,0.8699,0.9312,0.1,2024-06-20 19:59:23
28.0805,0.0528,3.8092,6.9117,0.9105,0.9472,0.0687,0.0687,0,0.8698,0.9313,0.1,2024-06-20 20:10:09
28.1083,0.0507,3.9383,6.916,0.9118,0.9493,0.0688,0.0688,0,0.8696,0.9312,0.1,2024-06-20 20:20:58
28.1408,0.0538,4.1598,6.9178,0.9083,0.9462,0.0683,0.0683,0,0.8704,0.9317,0.1,2024-06-20 20:31:57
28.1576,0.0496,4.3294,6.9188,0.9125,0.9504,0.0687,0.0687,0,0.8698,0.9313,0.1,2024-06-20 20:42:50
28.189,0.0559,4.5009,6.9207,0.9091,0.9441,0.0688,0.0688,0,0.8696,0.9312,0.1,2024-06-20 20:53:40
28.2059,0.0526,4.6654,6.9217,0.9102,0.9474,0.0687,0.0687,0,0.8699,0.9313,0.1,2024-06-20 21:04:22
28.2008,0.0525,4.6902,6.9198,0.9091,0.9475,0.0693,0.0693,0,0.8686,0.9307,0.1,2024-06-20 21:15:08
28.2129,0.0505,4.8151,6.9202,0.9134,0.9495,0.0683,0.0683,0,0.8705,0.9317,0.1,2024-06-20 21:25:47
28.2446,0.0535,5.0954,6.9204,0.9085,0.9465,0.0687,0.0687,0,0.8701,0.9313,0.1,2024-06-20 21:36:43
28.2875,0.0504,5.4464,6.9231,0.9122,0.9496,0.0685,0.0685,0,0.8702,0.9315,0.1,2024-06-20 21:47:36
28.4678,0.0498,7.2537,6.9232,0.9125,0.9502,0.0687,0.0687,0,0.87,0.9313,0.1,2024-06-20 21:58:34
28.4973,0.0482,7.6324,6.9215,0.9152,0.9518,0.0684,0.0684,0,0.8702,0.9316,0.1,2024-06-20 22:09:22
28.4949,0.0497,7.6324,6.9205,0.9124,0.9503,0.0695,0.0695,0,0.8688,0.9305,0.1,2024-06-20 22:20:06
28.502,0.0509,7.6307,6.922,0.9111,0.9491,0.0685,0.0685,0,0.8703,0.9315,0.1,2024-06-20 22:30:55
28.5137,0.0512,7.6291,6.9249,0.9103,0.9488,0.0689,0.0689,0,0.8697,0.9311,0.1,2024-06-20 22:41:31
28.496,0.0495,7.6279,6.9209,0.914,0.9505,0.0688,0.0688,0,0.8699,0.9312,0.1,2024-06-20 22:52:04
28.5004,0.0522,7.6271,6.9214,0.9095,0.9478,0.0691,0.0691,0,0.8693,0.9309,0.1,2024-06-20 23:02:39
28.4999,0.0505,7.6265,6.9217,0.9115,0.9495,0.0691,0.0691,0,0.869,0.9309,0.1,2024-06-20 23:13:23
28.4979,0.0507,7.6261,6.9211,0.9131,0.9493,0.0688,0.0688,0,0.87,0.9312,0.1,2024-06-20 23:24:03
28.4995,0.0478,7.6258,6.9223,0.9179,0.9522,0.0683,0.0683,0,0.8702,0.9317,0.1,2024-06-20 23:34:43
28.4963,0.0506,7.6256,6.9208,0.9116,0.9494,0.0688,0.0688,0,0.87,0.9312,0.1,2024-06-20 23:45:09
28.4943,0.0516,7.6255,6.92,0.9108,0.9484,0.0686,0.0686,0,0.8696,0.9314,0.1,2024-06-20 23:55:44
28.4915,0.0524,7.6254,6.9191,0.9104,0.9476,0.0684,0.0684,0,0.8704,0.9316,0.1,2024-06-21 00:06:10
28.4949,0.0514,7.6253,6.9202,0.9084,0.9486,0.0688,0.0688,0,0.8693,0.9312,0.1,2024-06-21 00:16:40
28.4979,0.0496,7.6252,6.9214,0.9135,0.9504,0.0684,0.0684,0,0.87,0.9316,0.1,2024-06-21 00:27:15
28.5017,0.0524,7.6252,6.9217,0.9097,0.9476,0.0685,0.0685,0,0.8702,0.9315,0.1,2024-06-21 00:37:48
28.4964,0.0557,7.6251,6.9195,0.9064,0.9443,0.0689,0.0689,0,0.8695,0.9311,0.1,2024-06-21 00:48:17
28.4962,0.0495,7.6250,6.9210,0.9141,0.9505,0.0684,0.0684,0,0.8705,0.9316,0.1,2024-06-21 00:58:46
