t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
1.1125,0.5389,5.7353,0,0.3049,0.4611,0.4739,0.4739,0,0.3527,0.5261,0.1,2024-06-20 06:29:12
0.8721,0.357,5.1508,0,0.4698,0.643,0.3633,0.3633,0,0.4683,0.6367,0.1,2024-06-20 06:30:12
0.758,0.2587,4.9938,0,0.5786,0.7413,0.2744,0.2744,0,0.5469,0.7256,0.1,2024-06-20 06:31:16
0.6813,0.195,4.8633,0,0.6598,0.805,0.2477,0.2477,0,0.5883,0.7523,0.1,2024-06-20 06:32:16
0.6187,0.1412,4.7756,0,0.7381,0.8588,0.2366,0.2366,0,0.5982,0.7634,0.1,2024-06-20 06:33:17
0.5844,0.1132,4.7119,0,0.7811,0.8868,0.2254,0.2254,0,0.6249,0.7746,0.1,2024-06-20 06:34:14
0.5666,0.1016,4.6496,0,0.8039,0.8984,0.2235,0.2235,0,0.6229,0.7765,0.1,2024-06-20 06:35:14
0.5497,0.0908,4.589,0,0.8222,0.9092,0.2057,0.2057,0,0.6462,0.7943,0.1,2024-06-20 06:36:15
0.5328,0.0793,4.5349,0,0.8382,0.9207,0.231,0.231,0,0.6134,0.769,0.1,2024-06-20 06:37:15
0.5246,0.0758,4.4886,0,0.8443,0.9242,0.2028,0.2028,0,0.6568,0.7972,0.1,2024-06-20 06:38:16
0.515,0.0698,4.4521,0,0.8567,0.9302,0.2088,0.2088,0,0.6444,0.7912,0.1,2024-06-20 06:39:20
0.5081,0.0645,4.4361,0,0.867,0.9355,0.2184,0.2184,0,0.6297,0.7816,0.1,2024-06-20 06:40:21
0.5017,0.0593,4.4242,0,0.8767,0.9407,0.2216,0.2216,0,0.6204,0.7784,0.1,2024-06-20 06:41:25
0.4988,0.0564,4.4238,0,0.8808,0.9436,0.2125,0.2125,0,0.64,0.7875,0.1,2024-06-20 06:42:26
0.4904,0.0483,4.4205,0,0.897,0.9517,0.2223,0.2223,0,0.6256,0.7777,0.1,2024-06-20 06:43:28
0.4882,0.046,4.4225,0,0.9003,0.954,0.2078,0.2078,0,0.6444,0.7922,0.1,2024-06-20 06:44:29
0.4875,0.045,4.425,0,0.9036,0.955,0.2131,0.2131,0,0.6383,0.7869,0.1,2024-06-20 06:45:31
0.4883,0.0458,4.4248,0,0.9017,0.9542,0.2158,0.2158,0,0.639,0.7842,0.1,2024-06-20 06:46:32
0.4881,0.0456,4.425,0,0.9035,0.9544,0.2065,0.2065,0,0.649,0.7935,0.1,2024-06-20 06:47:38
0.485,0.0432,4.4182,0,0.9079,0.9568,0.2055,0.2055,0,0.6536,0.7945,0.1,2024-06-20 06:48:43
0.4805,0.039,4.4154,0,0.9142,0.961,0.1972,0.1972,0,0.6598,0.8028,0.1,2024-06-20 06:49:44
0.4789,0.0373,4.4151,0,0.9177,0.9627,0.1988,0.1988,0,0.6609,0.8012,0.1,2024-06-20 06:50:45
0.4777,0.0369,4.408,0,0.9203,0.9631,0.2042,0.2042,0,0.6544,0.7958,0.1,2024-06-20 06:51:46
0.4773,0.0372,4.4002,0,0.9209,0.9628,0.2155,0.2155,0,0.635,0.7845,0.1,2024-06-20 06:52:49
0.4758,0.036,4.3975,0,0.9239,0.964,0.2079,0.2079,0,0.6481,0.7921,0.1,2024-06-20 06:53:49
0.472,0.0334,4.3863,0,0.9282,0.9667,0.209,0.209,0,0.6501,0.791,0.1,2024-06-20 06:54:51
0.469,0.0314,4.3763,0,0.9343,0.9686,0.2028,0.2028,0,0.6562,0.7972,0.1,2024-06-20 06:55:52
0.4677,0.0312,4.3644,0,0.9327,0.9688,0.2038,0.2038,0,0.6546,0.7962,0.1,2024-06-20 06:56:52
0.465,0.0295,4.3551,0,0.937,0.9705,0.1949,0.1949,0,0.6669,0.8051,0.1,2024-06-20 06:57:59
0.4651,0.0306,4.3457,0,0.9329,0.9694,0.2006,0.2006,0,0.6587,0.7994,0.1,2024-06-20 06:59:00
0.4638,0.0303,4.3353,0,0.9354,0.9697,0.1955,0.1955,0,0.6676,0.8045,0.1,2024-06-20 07:00:06
0.46,0.0282,4.318,0,0.9389,0.9718,0.2033,0.2033,0,0.6576,0.7967,0.1,2024-06-20 07:01:10
0.4581,0.0275,4.3053,0,0.9405,0.9725,0.1979,0.1979,0,0.663,0.8021,0.1,2024-06-20 07:02:13
0.4556,0.0266,4.2895,0,0.9428,0.9734,0.205,0.205,0,0.6554,0.795,0.1,2024-06-20 07:03:13
0.4537,0.0264,4.273,0,0.9426,0.9736,0.2014,0.2014,0,0.66,0.7986,0.1,2024-06-20 07:04:16
0.4518,0.0255,4.2624,0,0.945,0.9745,0.2015,0.2015,0,0.6588,0.7985,0.1,2024-06-20 07:05:18
0.4488,0.0244,4.2444,0,0.9472,0.9756,0.2016,0.2016,0,0.6615,0.7984,0.1,2024-06-20 07:06:19
0.4478,0.0247,4.2307,0,0.9472,0.9753,0.202,0.202,0,0.6615,0.798,0.1,2024-06-20 07:07:19
0.4465,0.0251,4.2139,0,0.9464,0.9749,0.201,0.201,0,0.6597,0.799,0.1,2024-06-20 07:08:21
0.4439,0.0235,4.2039,0,0.9492,0.9765,0.2008,0.2008,0,0.6595,0.7992,0.1,2024-06-20 07:09:21
0.4419,0.0237,4.1818,0,0.9488,0.9763,0.1988,0.1988,0,0.6629,0.8012,0.1,2024-06-20 07:10:26
0.4408,0.0248,4.1607,0,0.9471,0.9752,0.2042,0.2042,0,0.6572,0.7958,0.1,2024-06-20 07:11:28
0.4557,0.0235,4.3224,0,0.9497,0.9765,0.2013,0.2013,0,0.662,0.7987,0.1,2024-06-20 07:12:29
0.4937,0.0234,4.7037,0,0.9501,0.9766,0.2047,0.2047,0,0.6561,0.7953,0.1,2024-06-20 07:13:34
0.5475,0.0226,5.2495,0,0.9516,0.9774,0.2038,0.2038,0,0.6581,0.7962,0.1,2024-06-20 07:14:39
0.5011,0.022,4.7909,0,0.9525,0.978,0.2085,0.2085,0,0.6532,0.7915,0.1,2024-06-20 07:15:42
0.5835,0.0216,5.6191,0,0.9535,0.9784,0.2054,0.2054,0,0.6559,0.7946,0.1,2024-06-20 07:16:48
0.5847,0.0217,5.6293,0,0.9531,0.9783,0.2103,0.2103,0,0.6475,0.7897,0.1,2024-06-20 07:17:56
0.5834,0.022,5.6144,0,0.9528,0.978,0.2036,0.2036,0,0.658,0.7964,0.1,2024-06-20 07:18:55
0.5886,0.0213,5.6732,0,0.9536,0.9787,0.2082,0.2082,0,0.6508,0.7918,0.1,2024-06-20 07:19:54
0.6718,0.0216,6.5021,0,0.9537,0.9784,0.2008,0.2008,0,0.6596,0.7992,0.1,2024-06-20 07:20:54
0.6232,0.0209,6.0224,0,0.9543,0.9791,0.1979,0.1979,0,0.6639,0.8021,0.1,2024-06-20 07:21:57
0.5441,0.0199,5.2417,0,0.9565,0.9801,0.2061,0.2061,0,0.6554,0.7939,0.1,2024-06-20 07:22:59
0.5054,0.0206,4.849,0,0.9551,0.9794,0.2051,0.2051,0,0.6568,0.7949,0.1,2024-06-20 07:23:59
0.4923,0.0203,4.7194,0,0.9562,0.9797,0.2005,0.2005,0,0.664,0.7995,0.1,2024-06-20 07:24:59
0.4686,0.0208,4.479,0,0.9555,0.9792,0.209,0.209,0,0.6535,0.791,0.1,2024-06-20 07:25:59
0.4529,0.0216,4.313,0,0.9539,0.9784,0.2171,0.2171,0,0.6449,0.7829,0.1,2024-06-20 07:27:02
0.4396,0.0215,4.1812,0,0.9535,0.9785,0.2035,0.2035,0,0.6583,0.7965,0.1,2024-06-20 07:28:02
0.4313,0.0216,4.0969,0,0.9532,0.9784,0.2167,0.2167,0,0.6438,0.7833,0.1,2024-06-20 07:29:03
0.4169,0.0222,3.9471,0,0.9522,0.9778,0.2144,0.2144,0,0.6423,0.7856,0.1,2024-06-20 07:30:05
0.4031,0.0225,3.8055,0,0.9524,0.9775,0.208,0.208,0,0.6505,0.792,0.1,2024-06-20 07:31:08
0.392,0.0222,3.6979,0,0.9522,0.9778,0.2203,0.2203,0,0.6329,0.7797,0.1,2024-06-20 07:32:09
