t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
0.9485,0.3993,5.4916,0,0.2101,0.6007,0.379,0.379,0,0.0458,0.621,0.1,2024-06-16 15:52:21
0.7829,0.3308,4.5211,0,0.0235,0.6692,0.3209,0.3209,0,0.0109,0.6791,0.1,2024-06-16 15:53:33
0.737,0.3187,4.1831,0,0.0126,0.6813,0.3153,0.3153,0,0.0113,0.6847,0.1,2024-06-16 15:54:43
0.709,0.3143,3.9463,0,0.0077,0.6857,0.3114,0.3114,0,0.0055,0.6886,0.1,2024-06-16 15:55:53
0.6786,0.3114,3.6712,0,0.0044,0.6886,0.3096,0.3096,0,0.0033,0.6904,0.1,2024-06-16 15:57:06
0.6474,0.31,3.3743,0,0.0024,0.69,0.3085,0.3085,0,0.0023,0.6915,0.1,2024-06-16 15:58:20
0.6203,0.309,3.1131,0,0.0017,0.691,0.3081,0.3081,0,0.0027,0.6919,0.1,2024-06-16 15:59:30
0.6074,0.3083,2.9905,0,0.0014,0.6917,0.3074,0.3074,0,0.0016,0.6926,0.1,2024-06-16 16:00:43
0.5936,0.3081,2.8547,0,0.0011,0.6919,0.307,0.307,0,0.0011,0.693,0.1,2024-06-16 16:01:57
0.582,0.3078,2.7418,0,0.0014,0.6922,0.307,0.307,0,0.0021,0.693,0.1,2024-06-16 16:03:08
0.573,0.3075,2.6545,0,0.001,0.6925,0.3067,0.3067,0,0.0012,0.6933,0.1,2024-06-16 16:04:21
0.5653,0.3074,2.5791,0,0.0008,0.6926,0.3066,0.3066,0,0.0015,0.6934,0.1,2024-06-16 16:05:35
0.5607,0.3073,2.5337,0,0.0007,0.6927,0.3065,0.3065,0,0.0013,0.6935,0.1,2024-06-16 16:06:50
0.5541,0.3068,2.4722,0,0.0005,0.6932,0.3064,0.3064,0,0.0011,0.6936,0.1,2024-06-16 16:08:05
0.5486,0.3069,2.4169,0,0.0004,0.6931,0.3062,0.3062,0,0.0012,0.6938,0.1,2024-06-16 16:09:16
0.5435,0.3068,2.3666,0,0.0004,0.6932,0.3062,0.3062,0,0.0011,0.6938,0.1,2024-06-16 16:10:34
0.5397,0.3069,2.3287,0,0.0005,0.6931,0.3062,0.3062,0,0.0013,0.6938,0.1,2024-06-16 16:11:45
0.536,0.3067,2.2931,0,0.0003,0.6933,0.3059,0.3059,0,0.0006,0.6941,0.1,2024-06-16 16:12:55
0.5341,0.3068,2.2722,0,0.0003,0.6932,0.3059,0.3059,0,0.0006,0.6941,0.1,2024-06-16 16:14:17
0.5306,0.3065,2.2417,0,0.0003,0.6935,0.3058,0.3058,0,0.0005,0.6942,0.1,2024-06-16 16:15:36
0.5276,0.3066,2.2104,0,0.0003,0.6934,0.3058,0.3058,0,0.0005,0.6942,0.1,2024-06-16 16:16:51
0.5244,0.3066,2.178,0,0.0003,0.6934,0.3058,0.3058,0,0.0006,0.6942,0.1,2024-06-16 16:18:06
0.5209,0.3064,2.1449,0,0.0002,0.6936,0.3057,0.3057,0,0.0004,0.6943,0.1,2024-06-16 16:19:21
0.517,0.3065,2.1051,0,0.0002,0.6935,0.3058,0.3058,0,0.0006,0.6942,0.1,2024-06-16 16:20:39
0.5133,0.3064,2.0694,0,0.0002,0.6936,0.3056,0.3056,0,0.0003,0.6944,0.1,2024-06-16 16:21:53
0.5103,0.3064,2.0392,0,0.0002,0.6936,0.3056,0.3056,0,0.0002,0.6944,0.1,2024-06-16 16:23:07
0.5081,0.3063,2.018,0,0.0002,0.6937,0.3057,0.3057,0,0.0006,0.6943,0.1,2024-06-16 16:24:23
0.5047,0.3063,1.9847,0,0.0002,0.6937,0.3056,0.3056,0,0.0002,0.6944,0.1,2024-06-16 16:25:38
0.5025,0.3064,1.9618,0,0.0002,0.6936,0.3056,0.3056,0,0.0003,0.6944,0.1,2024-06-16 16:26:52
