t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
30.4577,0.0156,7.5463,6.6672,0.9661,0.9844,0.2083,0.2083,0,0.6721,0.7917,0.5,2024-06-24 10:49:40
30.3672,0.0156,7.3842,6.6649,0.9658,0.9844,0.2095,0.2095,0,0.6709,0.7905,0.5,2024-06-24 10:54:00
30.3117,0.0156,7.2914,6.6626,0.966,0.9844,0.2088,0.2088,0,0.6716,0.7912,0.5,2024-06-24 10:58:02
30.2821,0.0156,7.2318,6.6627,0.9657,0.9844,0.2109,0.2109,0,0.6683,0.7891,0.5,2024-06-24 11:02:05
30.2743,0.0156,7.1928,6.6656,0.9658,0.9844,0.2097,0.2097,0,0.6699,0.7903,0.5,2024-06-24 11:06:06
30.2492,0.0157,7.166,6.6626,0.9655,0.9843,0.2086,0.2086,0,0.6714,0.7914,0.5,2024-06-24 11:10:07
30.2552,0.0156,7.1464,6.6666,0.9662,0.9844,0.2069,0.2069,0,0.6749,0.7931,0.5,2024-06-24 11:14:13
30.2366,0.0154,7.1317,6.6638,0.9664,0.9846,0.2094,0.2094,0,0.6699,0.7906,0.5,2024-06-24 11:18:22
30.2326,0.0155,7.1207,6.6642,0.9662,0.9845,0.2104,0.2104,0,0.6693,0.7896,0.5,2024-06-24 11:22:30
30.2212,0.0156,7.1113,6.6625,0.9661,0.9844,0.2094,0.2094,0,0.6709,0.7906,0.5,2024-06-24 11:26:34
30.2202,0.0155,7.1037,6.6632,0.9659,0.9845,0.2079,0.2079,0,0.6736,0.7921,0.5,2024-06-24 11:30:38
30.2198,0.0155,7.0974,6.6639,0.9662,0.9845,0.2082,0.2082,0,0.6723,0.7918,0.5,2024-06-24 11:34:48
30.1984,0.0153,7.092,6.6593,0.9663,0.9847,0.207,0.207,0,0.6751,0.793,0.5,2024-06-24 11:38:51
30.206,0.0156,7.0872,6.6617,0.9663,0.9844,0.2075,0.2075,0,0.6735,0.7925,0.5,2024-06-24 11:43:13
30.2187,0.0156,7.0831,6.6654,0.966,0.9844,0.2089,0.2089,0,0.6723,0.7911,0.5,2024-06-24 11:47:17
30.2095,0.0157,7.0794,6.6635,0.9656,0.9843,0.2077,0.2077,0,0.6734,0.7923,0.5,2024-06-24 11:51:29
30.1961,0.0154,7.0863,6.6594,0.9661,0.9846,0.2084,0.2084,0,0.6729,0.7916,0.5,2024-06-24 11:55:36
30.299,0.0154,7.264,6.6629,0.9664,0.9846,0.2096,0.2096,0,0.6702,0.7904,0.5,2024-06-24 11:59:47
30.3727,0.0155,7.4207,6.6617,0.9661,0.9845,0.208,0.208,0,0.6726,0.792,0.5,2024-06-24 12:03:54
