t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
2.8238,0.5773,19.936,0.0632,0.753,0.927,0.8215,0.0676,0.0676,0,0,0.8919,0.9761,0.9352,2024-05-29 08:16:13
2.4348,0.5785,16.2003,0.0591,0.753,0.927,0.8216,0.0674,0.0674,0,0,0.8915,0.9761,0.9349,2024-05-29 08:25:45
2.7575,0.5703,19.665,0.0552,0.7552,0.9279,0.8231,0.0672,0.0672,0,0,0.8918,0.9762,0.9351,2024-05-29 08:35:06
2.8499,0.5761,20.6597,0.052,0.7537,0.9274,0.8222,0.0658,0.0658,0,0,0.8999,0.9772,0.9415,2024-05-29 08:44:42
2.8194,0.5756,20.4534,0.0496,0.7541,0.9273,0.8222,0.0674,0.0674,0,0,0.8911,0.9761,0.9346,2024-05-29 08:54:22
2.8945,0.5759,21.267,0.048,0.7533,0.9271,0.8217,0.0664,0.0664,0,0,0.8992,0.977,0.941,2024-05-29 09:04:18
2.7428,0.5753,19.8826,0.0448,0.7539,0.9273,0.822,0.0662,0.0662,0,0,0.9005,0.9771,0.9419,2024-05-29 09:14:29
2.6723,0.5756,19.265,0.0426,0.7532,0.9271,0.8215,0.0665,0.0665,0,0,0.8983,0.977,0.9404,2024-05-29 09:24:50
2.7717,0.5774,20.2989,0.0411,0.7534,0.9271,0.8218,0.0655,0.0655,0,0,0.8991,0.9771,0.941,2024-05-29 09:35:32
2.6936,0.5779,19.5881,0.0392,0.7535,0.9271,0.822,0.0673,0.0673,0,0,0.8983,0.9768,0.9399,2024-05-29 09:46:27
2.6647,0.5768,19.3976,0.037,0.7532,0.9271,0.8215,0.0675,0.0675,0,0,0.891,0.9761,0.9345,2024-05-29 09:57:46
2.6042,0.5738,18.8944,0.0352,0.7548,0.9276,0.8229,0.0666,0.0666,0,0,0.8979,0.9769,0.9402,2024-05-29 10:09:48
2.6358,0.5774,19.2188,0.0341,0.7534,0.9271,0.8217,0.0665,0.0665,0,0,0.8991,0.977,0.9408,2024-05-29 10:22:29
2.5492,0.576,18.4162,0.0329,0.7533,0.9272,0.8216,0.0658,0.0658,0,0,0.8998,0.9772,0.9413,2024-05-29 10:35:08
2.4848,0.576,17.8137,0.0319,0.7534,0.9272,0.8218,0.0679,0.0679,0,0,0.8968,0.9767,0.939,2024-05-29 10:48:21
2.3587,0.5749,16.6426,0.0299,0.7537,0.9273,0.822,0.0667,0.0667,0,0,0.8974,0.9768,0.9398,2024-05-29 11:02:09
2.2997,0.5756,16.0821,0.029,0.7545,0.9275,0.8229,0.0655,0.0655,0,0,0.8972,0.9769,0.9396,2024-05-29 11:16:26
2.4789,0.5782,17.9054,0.0276,0.753,0.9271,0.8215,0.0663,0.0663,0,0,0.899,0.9771,0.941,2024-05-29 11:30:55
2.3978,0.5768,17.1415,0.0267,0.7534,0.9271,0.8218,0.0664,0.0664,0,0,0.8979,0.9769,0.9401,2024-05-29 11:45:18
2.6403,0.5773,19.609,0.0255,0.7531,0.9271,0.8215,0.068,0.068,0,0,0.8955,0.9766,0.9383,2024-05-29 11:59:55
2.7267,0.6852,19.4213,0.0248,0.7306,0.9184,0.796,0.0427,0.0427,0,0,0.9109,0.9796,0.9494,2024-05-29 14:35:59
2.4766,0.6844,16.9654,0.0239,0.7307,0.9182,0.7961,0.0427,0.0427,0,0,0.9111,0.9795,0.9494,2024-05-29 14:46:02
2.5099,0.6834,17.3395,0.0231,0.7308,0.9183,0.7961,0.0431,0.0431,0,0,0.911,0.9795,0.9494,2024-05-29 14:55:49
2.3771,0.6801,16.0669,0.0226,0.731,0.9187,0.7961,0.0431,0.0431,0,0,0.9107,0.9795,0.9491,2024-05-29 15:05:41
2.4548,0.6855,16.8268,0.0217,0.73,0.9182,0.7953,0.0436,0.0436,0,0,0.9112,0.9795,0.9494,2024-05-29 15:15:51
2.6499,0.5416,20.2141,0.0217,0.7657,0.9302,0.8352,0.0825,0.0825,0,0,0.8824,0.973,0.9267,2024-05-29 16:45:59
2.409,0.5417,17.8373,0.0209,0.7655,0.93,0.8351,0.0823,0.0823,0,0,0.8838,0.9731,0.9276,2024-05-29 16:56:07
2.2982,0.5436,16.7321,0.0203,0.7653,0.93,0.8348,0.0867,0.0867,0,0,0.8796,0.9721,0.9232,2024-05-29 17:06:24
2.2972,0.544,16.7406,0.0198,0.7651,0.9299,0.8347,0.0817,0.0817,0,0,0.884,0.9731,0.9279,2024-05-29 17:16:41
2.3935,0.5394,17.7862,0.0189,0.7665,0.9305,0.8357,0.0816,0.0816,0,0,0.8834,0.9731,0.9275,2024-05-29 17:27:10
2.2818,0.543,16.6349,0.0188,0.7657,0.9301,0.8351,0.0825,0.0825,0,0,0.8809,0.9728,0.9257,2024-05-29 17:37:53
2.5435,0.5839,18.8751,0.018,0.7506,0.927,0.8181,0.1476,0.1476,0,0,0.8683,0.9671,0.9126,2024-05-29 19:11:15
2.2826,0.5839,16.2751,0.0178,0.7512,0.9271,0.8184,0.1474,0.1474,0,0,0.8674,0.9668,0.9119,2024-05-29 19:21:15
