t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
9.4642,1.4376,15.454,0.0749,1.9556,2.3172,2.1197,0.2429,0.2429,0,0,0.8037,0.9418,0.8782,2024-05-26 11:41:47
9.1978,1.1491,15.6346,0.0579,1.9298,2.3135,2.1028,0.1876,0.1876,0,0,0.8005,0.9454,0.8747,2024-05-26 12:42:01
9.1031,0.9364,15.8912,0.0553,1.884,2.3034,2.0711,0.1681,0.1681,0,0,0.7479,0.9263,0.8321,2024-05-26 13:42:27
9.0628,0.793,16.0678,0.059,1.8062,2.2721,2.0164,0.1526,0.1526,0,0,0.6829,0.8998,0.7798,2024-05-26 14:42:28
9.1561,0.7119,16.3714,0.0646,1.6986,2.2068,1.9439,0.1384,0.1384,0,0,0.6526,0.885,0.7582,2024-05-26 15:42:57
9.3174,0.6725,16.7477,0.0678,1.6138,2.1473,1.8874,0.1353,0.1353,0,0,0.6178,0.8665,0.7301,2024-05-26 16:42:39
9.549,0.6506,17.2292,0.071,1.5672,2.1168,1.8547,0.1362,0.1362,0,0,0.5934,0.8591,0.7085,2024-05-26 17:42:52
9.8644,0.6423,17.8688,0.0719,1.5468,2.103,1.8402,0.1339,0.1339,0,0,0.5856,0.8535,0.7034,2024-05-26 18:43:15
9.904,0.636,17.9631,0.0716,1.5406,2.0969,1.8355,0.1321,0.1321,0,0,0.5949,0.8535,0.7133,2024-05-26 19:43:43
10.2534,0.6334,18.6734,0.0708,1.5422,2.0977,1.8375,0.133,0.133,0,0,0.5885,0.8547,0.7055,2024-05-26 20:44:00
10.5196,0.6306,19.2161,0.0702,1.543,2.0977,1.8376,0.132,0.132,0,0,0.5904,0.8539,0.7077,2024-05-26 21:44:09
10.5301,0.6302,19.2426,0.0696,1.5439,2.0982,1.8387,0.1372,0.1372,0,0,0.5589,0.8304,0.684,2024-05-26 22:44:20
10.5901,0.6267,19.3738,0.0691,1.5476,2.0995,1.842,0.1373,0.1373,0,0,0.5585,0.8308,0.6832,2024-05-26 23:44:21
10.9768,0.6262,20.1479,0.0692,1.5485,2.0998,1.8427,0.1322,0.1322,0,0,0.5898,0.8529,0.7077,2024-05-27 00:44:47
11.0865,0.624,20.3752,0.0687,1.5524,2.102,1.8461,0.1325,0.1325,0,0,0.5963,0.852,0.715,2024-05-27 01:44:51
11.5102,0.622,21.2329,0.0679,1.5545,2.1029,1.8472,0.1327,0.1327,0,0,0.5958,0.8543,0.713,2024-05-27 02:44:58
11.5883,0.6211,21.3911,0.0679,1.5562,2.1046,1.8494,0.1376,0.1376,0,0,0.5663,0.8296,0.6921,2024-05-27 03:45:09
11.4836,0.6198,21.1838,0.068,1.5588,2.105,1.8514,0.1316,0.1316,0,0,0.5929,0.8528,0.7105,2024-05-27 04:45:20
11.6603,0.618,21.5441,0.0675,1.5594,2.1064,1.8512,0.1323,0.1323,0,0,0.5964,0.8527,0.7145,2024-05-27 05:45:09
11.6362,0.6179,21.5017,0.0669,1.5651,2.1068,1.8569,0.1335,0.1335,0,0,0.591,0.8527,0.7084,2024-05-27 06:44:43
11.679,0.6156,21.5912,0.0669,1.5652,2.1089,1.8564,0.1321,0.1321,0,0,0.5971,0.8509,0.716,2024-05-27 07:44:23
11.8831,0.6154,21.9955,0.0675,1.5645,2.1083,1.8563,0.1322,0.1322,0,0,0.5869,0.8495,0.7054,2024-05-27 08:44:30
11.8441,0.612,21.9247,0.0674,1.564,2.1094,1.8552,0.138,0.138,0,0,0.5651,0.8271,0.6914,2024-05-27 09:44:47
11.8935,0.6129,22.0287,0.0666,1.5687,2.1106,1.8588,0.1313,0.1313,0,0,0.6052,0.8492,0.7252,2024-05-27 10:45:05
11.9112,0.6101,22.0695,0.0666,1.5688,2.1114,1.8592,0.1303,0.1303,0,0,0.602,0.8486,0.7224,2024-05-27 11:45:20
11.9725,0.6072,22.1787,0.069,1.5667,2.1126,1.8565,0.1358,0.1358,0,0,0.5474,0.827,0.6722,2024-05-27 12:45:33
12.0313,0.6077,22.3071,0.0675,1.5684,2.1144,1.8576,0.1358,0.1358,0,0,0.5503,0.8275,0.6749,2024-05-27 13:46:06
