t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
0.038,0.0231,0.1481,0,0.9507,0.9769,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:01:13
0.0407,0.0235,0.1721,0,0.9497,0.9765,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:02:39
0.042,0.0232,0.1878,0,0.9505,0.9768,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 18:04:03
0.0642,0.0235,0.4066,0,0.95,0.9765,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 18:05:34
0.1723,0.0236,1.4879,0,0.9499,0.9764,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 18:07:01
0.2592,0.0231,2.3606,0,0.9505,0.9769,0.1819,0.1819,0,0.7158,0.8181,0.1,2024-06-19 18:08:37
0.2752,0.0235,2.5167,0,0.9499,0.9765,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 18:10:14
0.3867,0.0237,3.63,0,0.9493,0.9763,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 18:11:48
0.4573,0.023,4.3434,0,0.951,0.977,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:13:14
0.4432,0.0232,4.1997,0,0.9505,0.9768,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 18:14:39
0.4049,0.0233,3.8162,0,0.9503,0.9767,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:16:03
0.3728,0.0236,3.4916,0,0.9499,0.9764,0.182,0.182,0,0.7159,0.818,0.1,2024-06-19 18:17:30
0.3463,0.0234,3.2291,0,0.9497,0.9766,0.1823,0.1823,0,0.7157,0.8177,0.1,2024-06-19 18:18:56
0.3227,0.0235,2.9925,0,0.9501,0.9765,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 18:20:23
0.3027,0.0235,2.7928,0,0.9498,0.9765,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 18:21:48
0.2855,0.0236,2.6189,0,0.9495,0.9764,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 18:23:12
0.2717,0.0236,2.4805,0,0.9496,0.9764,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 18:24:39
0.2932,0.0233,2.699,0,0.9504,0.9767,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:26:05
0.2791,0.0234,2.5563,0,0.95,0.9766,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 18:27:32
0.2666,0.0235,2.4305,0,0.9495,0.9765,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 18:29:01
0.2558,0.0231,2.3274,0,0.9504,0.9769,0.1819,0.1819,0,0.7159,0.8181,0.1,2024-06-19 18:30:38
0.2487,0.0232,2.2546,0,0.9503,0.9768,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 18:32:11
0.2397,0.0235,2.1628,0,0.9497,0.9765,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 18:33:40
0.2305,0.0235,2.071,0,0.9502,0.9765,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 18:35:16
0.2236,0.0236,2.0,0,0.9495,0.9764,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 18:36:51
0.2177,0.0235,1.9422,0,0.9499,0.9765,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:38:19
0.2178,0.0236,1.9423,0,0.9497,0.9764,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 18:39:45
0.2178,0.0234,1.944,0,0.9497,0.9766,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 18:41:15
0.2183,0.0236,1.9465,0,0.9496,0.9764,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:42:51
0.2014,0.0236,1.7775,0,0.9497,0.9764,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 18:44:19
0.1807,0.0233,1.5741,0,0.9507,0.9767,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:45:45
0.1676,0.0231,1.4452,0,0.9504,0.9769,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:47:12
0.1285,0.0234,1.0511,0,0.9498,0.9766,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 18:48:50
0.099,0.0237,0.7532,0,0.9492,0.9763,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:50:26
0.068,0.0232,0.4477,0,0.9502,0.9768,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 18:52:07
0.0727,0.0234,0.4928,0,0.9499,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:53:43
0.0828,0.0232,0.5954,0,0.9502,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:55:22
0.0835,0.0234,0.6003,0,0.9497,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:56:55
0.0833,0.0234,0.5991,0,0.9502,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 18:58:24
0.0873,0.0233,0.6404,0,0.9503,0.9767,0.1823,0.1823,0,0.7157,0.8177,0.1,2024-06-19 18:59:53
0.1102,0.0234,0.8681,0,0.95,0.9766,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 19:01:21
0.1098,0.023,0.8676,0,0.9506,0.977,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:02:50
0.0961,0.0237,0.7236,0,0.9497,0.9763,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:04:17
0.0859,0.0236,0.6237,0,0.9496,0.9764,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:05:44
0.0865,0.0238,0.6263,0,0.949,0.9762,0.1823,0.1823,0,0.7156,0.8177,0.1,2024-06-19 19:07:14
0.0867,0.0233,0.6338,0,0.95,0.9767,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:08:41
0.0914,0.0235,0.6792,0,0.9496,0.9765,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:10:05
0.0912,0.0237,0.6748,0,0.9493,0.9763,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:11:39
0.0903,0.0232,0.671,0,0.9503,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:13:04
0.09,0.0233,0.667,0,0.9498,0.9767,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:14:30
0.0886,0.023,0.6562,0,0.9509,0.977,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:15:55
0.089,0.0233,0.6569,0,0.9499,0.9767,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:17:21
0.0876,0.023,0.6458,0,0.9508,0.977,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 19:18:47
0.0886,0.0235,0.6504,0,0.9498,0.9765,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:20:15
0.0893,0.0235,0.6578,0,0.9495,0.9765,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 19:21:41
0.0921,0.0235,0.6857,0,0.9497,0.9765,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 19:23:09
0.0922,0.0234,0.6881,0,0.9501,0.9766,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:24:36
0.0923,0.0237,0.6862,0,0.9493,0.9763,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:26:04
0.0943,0.0237,0.7058,0,0.9492,0.9763,0.1823,0.1823,0,0.7156,0.8177,0.1,2024-06-19 19:27:33
0.1108,0.0237,0.8712,0,0.9496,0.9763,0.1821,0.1821,0,0.7156,0.8179,0.1,2024-06-19 19:28:59
0.1083,0.0237,0.8461,0,0.9492,0.9763,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 19:30:26
0.0976,0.0234,0.742,0,0.9497,0.9766,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 19:31:52
0.0949,0.0233,0.7152,0,0.9502,0.9767,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 19:33:20
0.0952,0.0235,0.7175,0,0.9499,0.9765,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:34:50
0.0927,0.0235,0.6913,0,0.9496,0.9765,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:36:15
0.0772,0.0234,0.5377,0,0.9497,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:37:44
0.0673,0.0229,0.4445,0,0.9511,0.9771,0.1821,0.1821,0,0.7156,0.8179,0.1,2024-06-19 19:39:10
0.0678,0.0232,0.4459,0,0.9506,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:40:36
0.0676,0.0232,0.4435,0,0.9503,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:42:01
0.069,0.0239,0.451,0,0.9489,0.9761,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:43:28
0.0675,0.0232,0.4431,0,0.9502,0.9768,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 19:44:54
0.0624,0.0232,0.3929,0,0.9502,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:46:20
0.0639,0.0234,0.4053,0,0.9498,0.9766,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 19:47:47
0.0862,0.0233,0.6291,0,0.9502,0.9767,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 19:49:14
0.1017,0.0232,0.7847,0,0.9505,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:50:41
0.1106,0.0237,0.8689,0,0.9495,0.9763,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:52:06
0.1126,0.0236,0.8905,0,0.9499,0.9764,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 19:53:34
0.16,0.0235,1.365,0,0.9498,0.9765,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 19:54:59
0.1601,0.0237,1.3644,0,0.9495,0.9763,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 19:56:27
0.1585,0.0231,1.3544,0,0.9506,0.9769,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 19:57:52
0.1564,0.0234,1.3296,0,0.9495,0.9766,0.1819,0.1819,0,0.7159,0.8181,0.1,2024-06-19 19:59:17
0.1563,0.0236,1.3273,0,0.9495,0.9764,0.182,0.182,0,0.7159,0.818,0.1,2024-06-19 20:00:48
0.1594,0.0234,1.3607,0,0.95,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 20:02:21
0.1587,0.0231,1.3551,0,0.9504,0.9769,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 20:03:57
0.1479,0.0234,1.2448,0,0.9499,0.9766,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 20:05:29
0.1419,0.0234,1.1845,0,0.95,0.9766,0.1821,0.1821,0,0.7158,0.8179,0.1,2024-06-19 20:06:57
0.1465,0.0238,1.2267,0,0.9492,0.9762,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 20:08:25
0.1463,0.0234,1.2287,0,0.9502,0.9766,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 20:09:52
0.1471,0.0232,1.239,0,0.9506,0.9768,0.182,0.182,0,0.7158,0.818,0.1,2024-06-19 20:11:19
0.1475,0.0236,1.2397,0,0.9499,0.9764,0.182,0.182,0,0.7157,0.818,0.1,2024-06-19 20:12:47
0.1475,0.0233,1.2412,0,0.9501,0.9767,0.1822,0.1822,0,0.7157,0.8178,0.1,2024-06-19 20:14:13
0.1476,0.0232,1.2446,0,0.9502,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 20:15:41
0.1472,0.0233,1.2387,0,0.9503,0.9767,0.1822,0.1822,0,0.7156,0.8178,0.1,2024-06-19 20:17:07
0.1472,0.0232,1.2399,0,0.9504,0.9768,0.1821,0.1821,0,0.7157,0.8179,0.1,2024-06-19 20:18:34
