t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
0.0966,0.0656,0.3102,0,0.8823,0.9344,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:11:54
0.0885,0.0661,0.2242,0,0.8818,0.9339,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:13:26
0.0848,0.0657,0.1916,0,0.8827,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:15:02
0.0839,0.0658,0.1811,0,0.8825,0.9342,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:16:40
0.0891,0.0661,0.2305,0,0.8817,0.9339,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:18:19
0.0932,0.0659,0.2728,0,0.8824,0.9341,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:20:04
0.095,0.0661,0.2899,0,0.8819,0.9339,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:21:51
0.0974,0.0664,0.3097,0,0.8814,0.9336,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:23:35
0.096,0.0659,0.3002,0,0.8819,0.9341,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:25:16
0.0942,0.0657,0.2844,0,0.8827,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:26:58
0.0941,0.0658,0.283,0,0.8822,0.9342,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:28:40
0.0926,0.0665,0.2608,0,0.8816,0.9335,0.1789,0.1789,0,0.7209,0.8211,0.1,2024-06-19 15:30:21
0.0918,0.0658,0.2604,0,0.8824,0.9342,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:32:05
0.0902,0.0656,0.246,0,0.8826,0.9344,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:33:53
0.1119,0.0657,0.462,0,0.8826,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:35:42
0.1256,0.0665,0.5915,0,0.8815,0.9335,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:37:25
0.1228,0.0659,0.5687,0,0.8825,0.9341,0.1789,0.1789,0,0.7209,0.8211,0.1,2024-06-19 15:39:08
0.1193,0.0656,0.5371,0,0.8827,0.9344,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:40:54
0.1174,0.0655,0.519,0,0.8825,0.9345,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:42:41
0.1161,0.066,0.5009,0,0.8824,0.934,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:44:27
0.1153,0.0661,0.4919,0,0.8822,0.9339,0.1789,0.1789,0,0.7209,0.8211,0.1,2024-06-19 15:46:10
0.1187,0.0656,0.5315,0,0.8825,0.9344,0.179,0.179,0,0.7207,0.821,0.1,2024-06-19 15:47:48
0.1287,0.0661,0.6261,0,0.8819,0.9339,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:49:30
0.1493,0.0658,0.8342,0,0.8825,0.9342,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:51:15
0.1495,0.0663,0.8318,0,0.8819,0.9337,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:53:03
0.1492,0.0661,0.8312,0,0.8819,0.9339,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 15:54:48
0.1507,0.0655,0.8517,0,0.8825,0.9345,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 15:56:30
0.1494,0.0655,0.8397,0,0.8831,0.9345,0.179,0.179,0,0.7207,0.821,0.1,2024-06-19 15:58:12
0.1503,0.0662,0.8413,0,0.8821,0.9338,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:00:01
0.1491,0.0659,0.8325,0,0.8824,0.9341,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:01:53
0.1723,0.0656,1.0679,0,0.8829,0.9344,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:03:46
0.1727,0.0657,1.0706,0,0.8825,0.9343,0.1789,0.1789,0,0.7209,0.8211,0.1,2024-06-19 16:05:29
0.1727,0.0653,1.0744,0,0.883,0.9347,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:07:13
0.2053,0.066,1.3928,0,0.882,0.934,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:09:01
0.2234,0.0656,1.5774,0,0.8827,0.9344,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:10:44
0.2369,0.066,1.7083,0,0.8823,0.934,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:12:26
0.2398,0.0661,1.737,0,0.8816,0.9339,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:14:13
0.2166,0.0657,1.5089,0,0.8822,0.9343,0.1788,0.1788,0,0.7209,0.8212,0.1,2024-06-19 16:16:00
0.2196,0.0666,1.5298,0,0.8811,0.9334,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:17:47
0.2373,0.0661,1.7121,0,0.8818,0.9339,0.179,0.179,0,0.7207,0.821,0.1,2024-06-19 16:19:27
0.262,0.0657,1.9632,0,0.8824,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:21:11
0.2871,0.0658,2.2131,0,0.8821,0.9342,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:22:59
0.311,0.0656,2.4537,0,0.8824,0.9344,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:24:42
0.3118,0.0657,2.4619,0,0.8827,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:26:31
0.3004,0.0657,2.3476,0,0.8826,0.9343,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:28:19
0.2813,0.0654,2.1592,0,0.8829,0.9346,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:30:03
0.2734,0.0659,2.0754,0,0.8822,0.9341,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:31:40
0.2739,0.0658,2.0811,0,0.8823,0.9342,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:33:17
0.2743,0.0662,2.0806,0,0.8817,0.9338,0.179,0.179,0,0.7207,0.821,0.1,2024-06-19 16:35:06
0.2701,0.066,2.0407,0,0.882,0.934,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:36:52
0.2706,0.0659,2.0474,0,0.8823,0.9341,0.179,0.179,0,0.7208,0.821,0.1,2024-06-19 16:38:41
0.2705,0.0658,2.0472,0,0.8825,0.9342,0.1789,0.1789,0,0.7208,0.8211,0.1,2024-06-19 16:40:31
0.2561,0.0657,1.9038,0,0.8828,0.9343,0.179,0.179,0,0.7207,0.821,0.1,2024-06-19 16:42:16
