t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_miou,v_dice,PatchCL_weight,time
1.0881,0.5516,5.3656,0,0.2928,0.4484,0.4655,0.4655,0,0.363,0.5345,0.1,2024-06-19 13:29:31
0.8119,0.3698,4.4212,0,0.4537,0.6302,0.3228,0.3228,0,0.5051,0.6772,0.1,2024-06-19 13:30:28
0.67,0.2577,4.1225,0,0.579,0.7423,0.23,0.23,0,0.6222,0.77,0.1,2024-06-19 13:31:26
0.5765,0.1805,3.9598,0,0.6763,0.8195,0.214,0.214,0,0.6575,0.786,0.1,2024-06-19 13:32:25
0.5379,0.1535,3.8439,0,0.7168,0.8465,0.2116,0.2116,0,0.6698,0.7884,0.1,2024-06-19 13:33:22
0.5018,0.1273,3.7451,0,0.7613,0.8727,0.1992,0.1992,0,0.685,0.8008,0.1,2024-06-19 13:34:19
0.4635,0.1016,3.619,0,0.7978,0.8984,0.1778,0.1778,0,0.7106,0.8222,0.1,2024-06-19 13:35:20
0.4398,0.0927,3.4715,0,0.8179,0.9073,0.2103,0.2103,0,0.6769,0.7897,0.1,2024-06-19 13:36:18
0.4116,0.0809,3.3079,0,0.8364,0.9191,0.1946,0.1946,0,0.7003,0.8054,0.1,2024-06-19 13:37:17
0.3894,0.076,3.1335,0,0.8476,0.924,0.1845,0.1845,0,0.708,0.8155,0.1,2024-06-19 13:38:17
0.3686,0.0724,2.9618,0,0.8547,0.9276,0.1817,0.1817,0,0.7068,0.8183,0.1,2024-06-19 13:39:16
0.3545,0.0703,2.8427,0,0.8592,0.9297,0.1908,0.1908,0,0.708,0.8092,0.1,2024-06-19 13:40:12
0.3353,0.0614,2.7394,0,0.8721,0.9386,0.1842,0.1842,0,0.706,0.8158,0.1,2024-06-19 13:41:10
0.3251,0.0588,2.6635,0,0.8783,0.9412,0.1725,0.1725,0,0.7204,0.8275,0.1,2024-06-19 13:42:07
0.309,0.0523,2.5669,0,0.8914,0.9477,0.195,0.195,0,0.6967,0.805,0.1,2024-06-19 13:43:06
0.2991,0.0512,2.4798,0,0.893,0.9488,0.1785,0.1785,0,0.7139,0.8215,0.1,2024-06-19 13:44:06
0.2863,0.0462,2.4007,0,0.9019,0.9538,0.193,0.193,0,0.6979,0.807,0.1,2024-06-19 13:45:10
0.2778,0.0438,2.3395,0,0.9074,0.9562,0.1806,0.1806,0,0.713,0.8194,0.1,2024-06-19 13:46:09
0.268,0.0408,2.2725,0,0.9141,0.9592,0.1808,0.1808,0,0.7119,0.8192,0.1,2024-06-19 13:47:08
0.2638,0.0419,2.2193,0,0.9094,0.9581,0.172,0.172,0,0.7154,0.828,0.1,2024-06-19 13:48:06
0.2586,0.0413,2.1728,0,0.9103,0.9587,0.1801,0.1801,0,0.7154,0.8199,0.1,2024-06-19 13:49:04
0.2527,0.0405,2.1216,0,0.9136,0.9595,0.1828,0.1828,0,0.7119,0.8172,0.1,2024-06-19 13:50:05
0.244,0.0367,2.0732,0,0.9216,0.9633,0.1764,0.1764,0,0.7158,0.8236,0.1,2024-06-19 13:51:05
0.2379,0.0345,2.0337,0,0.9269,0.9655,0.1812,0.1812,0,0.7132,0.8188,0.1,2024-06-19 13:52:03
0.2338,0.034,1.9979,0,0.9274,0.966,0.1717,0.1717,0,0.719,0.8283,0.1,2024-06-19 13:53:01
0.2289,0.0328,1.961,0,0.93,0.9672,0.175,0.175,0,0.7189,0.825,0.1,2024-06-19 13:53:59
0.2251,0.0324,1.9275,0,0.9314,0.9676,0.1806,0.1806,0,0.7144,0.8194,0.1,2024-06-19 13:54:57
0.2199,0.0307,1.8925,0,0.9339,0.9693,0.1774,0.1774,0,0.7188,0.8226,0.1,2024-06-19 13:55:55
0.216,0.0297,1.8627,0,0.9355,0.9703,0.1792,0.1792,0,0.7185,0.8208,0.1,2024-06-19 13:56:53
0.2145,0.0307,1.8383,0,0.9341,0.9693,0.1703,0.1703,0,0.7251,0.8297,0.1,2024-06-19 13:57:55
0.2116,0.0299,1.8172,0,0.9372,0.9701,0.1759,0.1759,0,0.7184,0.8241,0.1,2024-06-19 13:58:54
0.209,0.029,1.8,0,0.9385,0.971,0.1879,0.1879,0,0.7074,0.8121,0.1,2024-06-19 13:59:51
