t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
1.0655,0.3589,7.0659,0,0.6106,0.8411,0.7131,0.2499,0.2499,0,0,0.6851,0.9141,0.7731,2024-06-02 13:05:37
0.841,0.1519,6.8909,0,0.7637,0.9379,0.8441,0.1638,0.1638,0,0,0.7391,0.9328,0.8213,2024-06-02 13:06:11
0.7426,0.1173,6.2532,0,0.7965,0.9504,0.8693,0.1664,0.1664,0,0,0.7669,0.9395,0.8435,2024-06-02 13:06:44
0.7194,0.0947,6.2471,0,0.8237,0.9587,0.8906,0.1519,0.1519,0,0,0.7832,0.9415,0.8611,2024-06-02 13:07:18
0.6807,0.0898,5.9093,0,0.8336,0.9605,0.8988,0.163,0.163,0,0,0.7761,0.9423,0.8542,2024-06-02 13:07:51
0.6584,0.081,5.7739,0,0.8493,0.9637,0.9095,0.1674,0.1674,0,0,0.7793,0.9436,0.8494,2024-06-02 13:08:24
0.6333,0.0685,5.6482,0,0.8642,0.97,0.9186,0.1551,0.1551,0,0,0.8016,0.9424,0.8749,2024-06-02 13:08:58
0.6133,0.0606,5.5263,0,0.8844,0.9732,0.9339,0.1541,0.1541,0,0,0.8142,0.946,0.8841,2024-06-02 13:09:32
0.5969,0.0537,5.4323,0,0.8984,0.976,0.9435,0.164,0.164,0,0,0.8156,0.9499,0.8792,2024-06-02 13:10:05
0.5838,0.0484,5.3543,0,0.9053,0.9788,0.9463,0.1659,0.1659,0,0,0.8141,0.9487,0.8834,2024-06-02 13:10:39
0.5741,0.0446,5.2951,0,0.9133,0.9805,0.9515,0.1506,0.1506,0,0,0.83,0.9515,0.8946,2024-06-02 13:11:13
0.5741,0.0488,5.2536,0,0.9073,0.9786,0.9481,0.15,0.15,0,0,0.8223,0.9516,0.8868,2024-06-02 13:11:47
0.5697,0.0471,5.2258,0,0.9071,0.9791,0.9479,0.1631,0.1631,0,0,0.8168,0.9508,0.8843,2024-06-02 13:12:22
0.5617,0.042,5.1971,0,0.9175,0.9814,0.9543,0.1638,0.1638,0,0,0.8213,0.9508,0.8866,2024-06-02 13:12:56
0.5555,0.0381,5.1742,0,0.9232,0.9831,0.9585,0.1611,0.1611,0,0,0.8176,0.953,0.8829,2024-06-02 13:13:30
0.5536,0.0373,5.1627,0,0.9292,0.9834,0.9619,0.1637,0.1637,0,0,0.8239,0.9524,0.8902,2024-06-02 13:14:04
0.548,0.0327,5.1528,0,0.9333,0.9852,0.9642,0.1554,0.1554,0,0,0.8369,0.9555,0.8986,2024-06-02 13:14:38
0.5466,0.0323,5.1435,0,0.9337,0.9857,0.9635,0.1683,0.1683,0,0,0.8281,0.9559,0.8926,2024-06-02 13:15:12
0.5444,0.0302,5.1426,0,0.9398,0.9864,0.9682,0.1661,0.1661,0,0,0.8296,0.9543,0.892,2024-06-02 13:15:46
0.5439,0.03,5.1381,0,0.939,0.9865,0.9666,0.1636,0.1636,0,0,0.8291,0.9536,0.8946,2024-06-02 13:16:21
