t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
1.0396,0.3216,7.1792,0,0.4989,0.811,0.602,0.2301,0.2301,0,0,0.4841,0.8738,0.554,0.1,2024-06-02 07:11:09
0.882,0.1577,7.2428,0,0.7079,0.9246,0.7971,0.157,0.157,0,0,0.7037,0.9194,0.7953,0.1,2024-06-02 07:12:07
0.8192,0.1236,6.9563,0,0.7359,0.9357,0.8198,0.142,0.142,0,0,0.7503,0.9328,0.8327,0.1,2024-06-02 07:12:58
0.7855,0.0983,6.8724,0,0.766,0.9474,0.8432,0.1774,0.1774,0,0,0.7308,0.9317,0.8159,0.1,2024-06-02 07:13:50
0.7318,0.0863,6.4548,0,0.8035,0.9542,0.8779,0.1479,0.1479,0,0,0.7362,0.9396,0.8154,0.1,2024-06-02 07:14:46
0.675,0.0753,5.9969,0,0.811,0.9586,0.8823,0.1422,0.1422,0,0,0.7588,0.9427,0.831,0.1,2024-06-02 07:15:42
0.6445,0.0648,5.7976,0,0.8426,0.9646,0.9053,0.145,0.145,0,0,0.7852,0.9467,0.8567,0.1,2024-06-02 07:16:40
0.6283,0.058,5.703,0,0.8579,0.9695,0.9155,0.1476,0.1476,0,0,0.7832,0.9459,0.8544,0.1,2024-06-02 07:17:36
0.6188,0.054,5.6473,0,0.8718,0.9715,0.9256,0.1373,0.1373,0,0,0.8096,0.9477,0.8808,0.1,2024-06-02 07:18:26
1.1159,0.05,5.6101,0,0.8805,0.9741,0.9307,0.1704,0.1704,0,0,0.7877,0.9483,0.8581,0.19,2024-06-02 07:19:23
1.1069,0.0459,5.5844,0,0.8878,0.9759,0.9355,0.1684,0.1684,0,0,0.7881,0.9483,0.8598,0.19,2024-06-02 07:20:21
1.1012,0.0424,5.5728,0,0.8987,0.9774,0.944,0.1526,0.1526,0,0,0.81,0.951,0.88,0.19,2024-06-02 07:21:18
1.0975,0.0418,5.5567,0,0.8983,0.9783,0.9421,0.1831,0.1831,0,0,0.7857,0.9481,0.8549,0.19,2024-06-02 07:22:13
1.0923,0.0401,5.538,0,0.9042,0.9794,0.9462,0.1538,0.1538,0,0,0.8102,0.953,0.8768,0.19,2024-06-02 07:23:08
1.0765,0.0348,5.4823,0,0.9166,0.9815,0.9546,0.1828,0.1828,0,0,0.8017,0.9497,0.8683,0.19,2024-06-02 07:24:04
