t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
8.7337,0.0594,17.3486,0,0.9289,0.9839,0.9551,0.0759,0.0759,0,0,0.9423,0.9858,0.9656,0.5,2024-06-03 18:37:10
8.9361,0.0616,17.749,0,0.9265,0.9835,0.9536,0.0764,0.0764,0,0,0.942,0.9858,0.9653,0.5,2024-06-03 18:43:17
8.767,0.059,17.416,0,0.9283,0.9839,0.9546,0.0764,0.0764,0,0,0.9425,0.9858,0.9656,0.5,2024-06-03 18:49:35
8.6886,0.0581,17.261,0,0.9278,0.9839,0.9544,0.0761,0.0761,0,0,0.9423,0.9858,0.9656,0.5,2024-06-03 18:56:02
8.6826,0.0596,17.246,0,0.9281,0.9838,0.9545,0.0763,0.0763,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 19:02:42
8.7163,0.0597,17.3131,0,0.9276,0.9837,0.9542,0.0755,0.0755,0,0,0.9423,0.9858,0.9656,0.5,2024-06-03 19:09:26
8.6787,0.0594,17.2385,0,0.9277,0.9837,0.9542,0.0768,0.0768,0,0,0.9415,0.9857,0.965,0.5,2024-06-03 19:16:10
8.607,0.0586,17.0968,0,0.9275,0.9839,0.954,0.0759,0.0759,0,0,0.9427,0.9858,0.9658,0.5,2024-06-03 19:23:01
8.4821,0.0594,16.8454,0,0.9281,0.9839,0.9546,0.0765,0.0765,0,0,0.942,0.9858,0.9653,0.5,2024-06-03 19:29:59
8.4154,0.0609,16.7091,0,0.926,0.9835,0.9531,0.0767,0.0767,0,0,0.9416,0.9857,0.965,0.5,2024-06-03 19:37:05
8.4022,0.0559,16.6925,0,0.9298,0.9843,0.9558,0.0764,0.0764,0,0,0.9412,0.9857,0.9648,0.5,2024-06-03 19:44:19
8.3707,0.0598,16.6218,0,0.9264,0.9837,0.9533,0.0764,0.0764,0,0,0.9413,0.9857,0.9649,0.5,2024-06-03 19:51:40
8.358,0.0589,16.5981,0,0.928,0.9838,0.9544,0.0763,0.0763,0,0,0.9426,0.9858,0.9658,0.5,2024-06-03 19:59:11
8.3159,0.0599,16.5119,0,0.9284,0.9838,0.955,0.0764,0.0764,0,0,0.9419,0.9858,0.9653,0.5,2024-06-03 20:06:50
8.2199,0.0613,16.3172,0,0.9271,0.9837,0.9538,0.0764,0.0764,0,0,0.9421,0.9858,0.9654,0.5,2024-06-03 20:14:40
8.1192,0.059,16.1204,0,0.9282,0.984,0.9543,0.077,0.077,0,0,0.9417,0.9857,0.9651,0.5,2024-06-03 20:22:34
8.0312,0.0589,15.9446,0,0.927,0.9838,0.9536,0.0762,0.0762,0,0,0.9421,0.9858,0.9654,0.5,2024-06-03 20:30:37
7.9473,0.0599,15.7748,0,0.9274,0.9836,0.954,0.0765,0.0765,0,0,0.9418,0.9857,0.9652,0.5,2024-06-03 20:38:48
7.8583,0.0589,15.5989,0,0.928,0.9839,0.9545,0.0765,0.0765,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 20:47:09
7.7833,0.0597,15.4472,0,0.9282,0.9838,0.9545,0.0762,0.0762,0,0,0.942,0.9858,0.9653,0.5,2024-06-03 20:55:37
7.7446,0.0587,15.3719,0,0.9278,0.9839,0.9541,0.0762,0.0762,0,0,0.9421,0.9858,0.9654,0.5,2024-06-03 21:04:13
7.687,0.06,15.254,0,0.9279,0.9838,0.9545,0.076,0.076,0,0,0.9426,0.9858,0.9658,0.5,2024-06-03 21:12:57
7.6214,0.0607,15.1215,0,0.9273,0.9836,0.9539,0.0763,0.0763,0,0,0.9425,0.9858,0.9657,0.5,2024-06-03 21:21:49
7.5595,0.0599,14.9992,0,0.9269,0.9836,0.9534,0.0762,0.0762,0,0,0.9421,0.9858,0.9654,0.5,2024-06-03 21:30:51
7.4556,0.06,14.7911,0,0.9278,0.9837,0.9543,0.0762,0.0762,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 21:39:59
7.3427,0.0603,14.5648,0,0.9276,0.9837,0.9542,0.0762,0.0762,0,0,0.9421,0.9858,0.9655,0.5,2024-06-03 21:49:06
7.2446,0.0617,14.3658,0,0.9268,0.9835,0.9534,0.0764,0.0764,0,0,0.942,0.9858,0.9653,0.5,2024-06-03 21:58:15
7.1099,0.0603,14.0991,0,0.9273,0.9836,0.9539,0.0763,0.0763,0,0,0.9419,0.9858,0.9653,0.5,2024-06-03 22:07:24
6.9734,0.0602,13.8265,0,0.9265,0.9835,0.9531,0.0763,0.0763,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 22:16:31
6.7753,0.0605,13.4298,0,0.9278,0.9837,0.9543,0.0766,0.0766,0,0,0.942,0.9858,0.9653,0.5,2024-06-03 22:25:40
6.6042,0.0578,13.0928,0,0.9276,0.984,0.9539,0.0762,0.0762,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 22:34:48
6.4959,0.0598,12.872,0,0.9276,0.9837,0.9542,0.077,0.077,0,0,0.9415,0.9857,0.965,0.5,2024-06-03 22:43:57
6.402,0.0605,12.6831,0,0.9273,0.9836,0.954,0.0761,0.0761,0,0,0.9429,0.9859,0.9659,0.5,2024-06-03 22:53:06
6.2833,0.0585,12.4496,0,0.9279,0.9838,0.9544,0.076,0.076,0,0,0.9422,0.9858,0.9655,0.5,2024-06-03 23:02:13
