t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.1072,0.0698,0.3741,0,0.8789,0.9668,0.9292,0.1862,0.1862,0,0,0.7566,0.9314,0.8342,0.1,2024-06-07 00:20:49
0.2151,0.0682,1.4687,0,0.8843,0.9674,0.934,0.1862,0.1862,0,0,0.7559,0.9316,0.8329,0.1,2024-06-07 00:22:16
0.3073,0.0687,2.3863,0,0.8814,0.9672,0.9317,0.1867,0.1867,0,0,0.7567,0.931,0.8346,0.1,2024-06-07 00:23:43
0.3028,0.0692,2.3362,0,0.8803,0.9668,0.9307,0.1875,0.1875,0,0,0.7568,0.9309,0.8349,0.1,2024-06-07 00:25:10
0.2935,0.0682,2.2526,0,0.8821,0.9674,0.932,0.1889,0.1889,0,0,0.7581,0.9306,0.8366,0.1,2024-06-07 00:26:54
0.343,0.0678,2.7518,0,0.8818,0.9677,0.9314,0.1879,0.1879,0,0,0.7576,0.931,0.8358,0.1,2024-06-07 00:28:22
0.3277,0.0681,2.5958,0,0.8816,0.9675,0.9313,0.1878,0.1878,0,0,0.7576,0.9309,0.8357,0.1,2024-06-07 00:29:49
0.3057,0.0686,2.371,0,0.8801,0.967,0.9305,0.188,0.188,0,0,0.7567,0.9308,0.8348,0.1,2024-06-07 00:31:17
0.2936,0.069,2.2452,0,0.8806,0.9669,0.9314,0.1883,0.1883,0,0,0.7574,0.931,0.8355,0.1,2024-06-07 00:32:58
0.2812,0.0684,2.1275,0,0.8823,0.9673,0.9326,0.1869,0.1869,0,0,0.7566,0.9313,0.8344,0.1,2024-06-07 00:34:27
0.2694,0.0698,1.9957,0,0.8796,0.9665,0.9301,0.1878,0.1878,0,0,0.7572,0.9307,0.8355,0.1,2024-06-07 00:35:55
0.2601,0.0684,1.9168,0,0.8812,0.9673,0.9313,0.1889,0.1889,0,0,0.7569,0.9307,0.8351,0.1,2024-06-07 00:37:24
0.2803,0.0691,2.1121,0,0.8813,0.9672,0.9312,0.1872,0.1872,0,0,0.7568,0.931,0.8348,0.1,2024-06-07 00:38:53
0.2789,0.0691,2.0986,0,0.8803,0.9668,0.9306,0.1881,0.1881,0,0,0.7571,0.9308,0.8352,0.1,2024-06-07 00:40:21
0.2714,0.0684,2.0296,0,0.8816,0.9673,0.9317,0.1867,0.1867,0,0,0.7567,0.9314,0.8345,0.1,2024-06-07 00:41:50
0.2713,0.0686,2.0275,0,0.8806,0.9671,0.9308,0.1875,0.1875,0,0,0.757,0.9309,0.8351,0.1,2024-06-07 00:43:19
0.2838,0.0681,2.1574,0,0.8836,0.9676,0.9328,0.1882,0.1882,0,0,0.7575,0.9307,0.8359,0.1,2024-06-07 00:44:48
0.2817,0.0695,2.1222,0,0.8797,0.9667,0.9302,0.1907,0.1907,0,0,0.7575,0.9303,0.8362,0.1,2024-06-07 00:46:18
0.2878,0.068,2.1984,0,0.8829,0.9674,0.9326,0.1889,0.1889,0,0,0.7574,0.9304,0.8359,0.1,2024-06-07 00:47:47
0.2862,0.0689,2.1729,0,0.8828,0.967,0.9327,0.1864,0.1864,0,0,0.7571,0.9312,0.8351,0.1,2024-06-07 00:49:17
0.2752,0.0683,2.0695,0,0.8799,0.9674,0.9297,0.188,0.188,0,0,0.757,0.931,0.8353,0.1,2024-06-07 00:50:47
0.2671,0.0687,1.9836,0,0.8816,0.9671,0.932,0.1881,0.1881,0,0,0.7576,0.9308,0.8359,0.1,2024-06-07 00:52:15
0.2770,0.0689,2.0801,0,0.8824,0.9669,0.9321,0.1888,0.1888,0,0,0.7577,0.9306,0.8361,0.1,2024-06-07 00:53:45
