t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
0.2991,0.0757,2.2342,0,0.9409,0.9847,0.9639,0.0506,0.0506,0,0,0.9386,0.987,0.962,2024-06-01 02:39:30
0.3626,0.0794,2.8322,0,0.9399,0.9843,0.9629,0.0496,0.0496,0,0,0.9394,0.9872,0.9624,2024-06-01 02:41:14
0.4766,0.0683,4.0822,0,0.9415,0.9855,0.9644,0.0497,0.0497,0,0,0.9376,0.987,0.9614,2024-06-01 02:43:00
0.4804,0.0816,3.9879,0,0.9389,0.9841,0.9625,0.0501,0.0501,0,0,0.9391,0.9871,0.9622,2024-06-01 02:44:46
0.4116,0.0777,3.3395,0,0.9401,0.9844,0.9633,0.0496,0.0496,0,0,0.9401,0.9872,0.9628,2024-06-01 02:46:31
0.3147,0.0797,2.3502,0,0.9394,0.9842,0.9628,0.0491,0.0491,0,0,0.9401,0.9872,0.9628,2024-06-01 02:48:14
0.3103,0.0788,2.3144,0,0.9399,0.9844,0.9631,0.0506,0.0506,0,0,0.9397,0.987,0.9626,2024-06-01 02:49:59
0.3073,0.0799,2.2739,0,0.939,0.9841,0.9624,0.0505,0.0505,0,0,0.938,0.9869,0.9616,2024-06-01 02:51:45
0.2816,0.0798,2.0178,0,0.9388,0.9842,0.9624,0.0506,0.0506,0,0,0.9371,0.9869,0.961,2024-06-01 02:53:31
0.2586,0.0801,1.7852,0,0.9397,0.9842,0.9631,0.0504,0.0504,0,0,0.9381,0.9869,0.9617,2024-06-01 02:55:18
0.2431,0.0734,1.6969,0,0.9413,0.9849,0.964,0.0509,0.0509,0,0,0.9397,0.987,0.9626,2024-06-01 02:57:08
0.2848,0.0798,2.0505,0,0.9388,0.9842,0.9624,0.0495,0.0495,0,0,0.9392,0.9871,0.9623,2024-06-01 02:58:57
0.2634,0.0759,1.8755,0,0.941,0.9847,0.964,0.0505,0.0505,0,0,0.9384,0.9869,0.9619,2024-06-01 03:00:49
0.3402,0.0774,2.6282,0,0.9407,0.9845,0.9642,0.05,0.05,0,0,0.9391,0.9871,0.9622,2024-06-01 03:02:41
0.363,0.0789,2.8414,0,0.9392,0.9843,0.9627,0.0499,0.0499,0,0,0.9408,0.9873,0.9632,2024-06-01 03:04:34
0.3424,0.08,2.6239,0,0.9394,0.9841,0.9627,0.0501,0.0501,0,0,0.9389,0.9871,0.9621,2024-06-01 03:06:29
0.3541,0.0798,2.7428,0,0.939,0.9841,0.9626,0.0507,0.0507,0,0,0.9388,0.987,0.9621,2024-06-01 03:08:27
0.3732,0.0773,2.9593,0,0.9403,0.9847,0.9634,0.0508,0.0508,0,0,0.9385,0.9869,0.9619,2024-06-01 03:10:26
0.3771,0.0789,2.982,0,0.9392,0.9842,0.9626,0.051,0.051,0,0,0.9388,0.987,0.9621,2024-06-01 03:12:27
0.3864,0.0803,3.0617,0,0.9395,0.9842,0.9628,0.051,0.051,0,0,0.9378,0.9869,0.9615,2024-06-01 03:14:29
0.3889,0.0801,3.0883,0,0.9389,0.9841,0.9624,0.0495,0.0495,0,0,0.9401,0.9872,0.9628,2024-06-01 03:16:34
0.3729,0.077,2.9588,0,0.9408,0.9848,0.9637,0.0494,0.0494,0,0,0.9385,0.9871,0.9619,2024-06-01 03:18:38
0.3664,0.0805,2.8594,0,0.9392,0.9841,0.9626,0.05,0.05,0,0,0.9389,0.987,0.9621,2024-06-01 03:20:50
0.4113,0.078,3.3338,0,0.9404,0.9845,0.9636,0.0504,0.0504,0,0,0.939,0.987,0.9622,2024-06-01 03:23:06
0.3838,0.08,3.0375,0,0.9389,0.9841,0.9624,0.0505,0.0505,0,0,0.939,0.987,0.9622,2024-06-01 03:25:23
0.4191,0.0768,3.4229,0,0.9411,0.9845,0.9647,0.0496,0.0496,0,0,0.9394,0.9872,0.9624,2024-06-01 03:27:40
0.4212,0.0794,3.4178,0,0.9395,0.9843,0.9629,0.0497,0.0497,0,0,0.9393,0.9871,0.9623,2024-06-01 03:29:58
0.3834,0.0788,3.0457,0,0.9402,0.9844,0.9633,0.0498,0.0498,0,0,0.939,0.9871,0.9622,2024-06-01 03:32:15
0.3743,0.0769,2.9744,0,0.9416,0.9847,0.9649,0.0498,0.0498,0,0,0.9379,0.987,0.9616,2024-06-01 03:34:38
0.3607,0.0796,2.8102,0,0.9398,0.9844,0.9629,0.0499,0.0499,0,0,0.9389,0.9871,0.9621,2024-06-01 03:37:00
0.4201,0.0788,3.4135,0,0.9395,0.9844,0.9626,0.0495,0.0495,0,0,0.94,0.9872,0.9627,2024-06-01 03:39:24
