t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.8746,0.3387,5.3581,0,0.5513,0.8253,0.6556,0.2714,0.2714,0,0,0.538,0.8897,0.613,0.1,2024-06-06 22:53:54
0.6101,0.1552,4.5485,0,0.7379,0.9303,0.8256,0.1659,0.1659,0,0,0.73,0.9264,0.8073,0.1,2024-06-06 22:54:39
0.5378,0.1109,4.2692,0,0.8086,0.9507,0.881,0.1755,0.1755,0,0,0.7462,0.9298,0.8241,0.1,2024-06-06 22:55:24
0.4995,0.0891,4.1035,0,0.8425,0.9611,0.9043,0.1825,0.1825,0,0,0.7577,0.9322,0.8358,0.1,2024-06-06 22:56:09
0.4838,0.0851,3.9865,0,0.8503,0.9632,0.9101,0.18,0.18,0,0,0.7517,0.932,0.8286,0.1,2024-06-06 22:56:54
0.4689,0.0785,3.9044,0,0.8662,0.966,0.9233,0.208,0.208,0,0,0.7403,0.9314,0.8152,0.1,2024-06-06 22:57:39
0.4566,0.0783,3.7833,0,0.8609,0.9658,0.9181,0.1894,0.1894,0,0,0.7568,0.9352,0.8267,0.1,2024-06-06 22:58:24
0.438,0.0769,3.6107,0,0.8678,0.9674,0.9227,0.1851,0.1851,0,0,0.7574,0.9285,0.833,0.1,2024-06-06 22:59:09
0.4207,0.0781,3.4259,0,0.8655,0.9655,0.9217,0.2076,0.2076,0,0,0.7465,0.9337,0.8198,0.1,2024-06-06 22:59:55
0.391,0.0645,3.2656,0,0.8838,0.9718,0.9339,0.2153,0.2153,0,0,0.7488,0.9338,0.8217,0.1,2024-06-06 23:00:40
0.386,0.0668,3.192,0,0.8828,0.9712,0.9334,0.2065,0.2065,0,0,0.7482,0.9332,0.8212,0.1,2024-06-06 23:01:25
0.3822,0.063,3.1921,0,0.8867,0.9718,0.9357,0.213,0.213,0,0,0.7617,0.9364,0.8346,0.1,2024-06-06 23:02:12
0.363,0.0642,2.9888,0,0.8839,0.9723,0.9346,0.1994,0.1994,0,0,0.7588,0.9359,0.8325,0.1,2024-06-06 23:02:57
0.3419,0.054,2.8797,0,0.9042,0.9765,0.9474,0.1878,0.1878,0,0,0.7692,0.9363,0.8407,0.1,2024-06-06 23:03:59
0.3249,0.0457,2.7922,0,0.9136,0.9797,0.9526,0.2045,0.2045,0,0,0.77,0.942,0.836,0.1,2024-06-06 23:04:45
0.3154,0.0431,2.7234,0,0.9219,0.9809,0.958,0.2139,0.2139,0,0,0.7781,0.9416,0.8467,0.1,2024-06-06 23:05:30
0.3075,0.0439,2.6356,0,0.9181,0.981,0.9548,0.2171,0.2171,0,0,0.7641,0.9369,0.8351,0.1,2024-06-06 23:06:16
0.2962,0.043,2.5316,0,0.9225,0.981,0.9584,0.2336,0.2336,0,0,0.761,0.9356,0.8266,0.1,2024-06-06 23:07:01
0.2916,0.0455,2.4619,0,0.9141,0.98,0.953,0.2228,0.2228,0,0,0.775,0.9392,0.8401,0.1,2024-06-06 23:07:46
0.2844,0.0455,2.3886,0,0.9133,0.98,0.9522,0.2583,0.2583,0,0,0.7486,0.9366,0.8145,0.1,2024-06-06 23:08:32
0.2811,0.0478,2.3336,0,0.9125,0.9792,0.9523,0.2161,0.2161,0,0,0.7748,0.9365,0.8441,0.1,2024-06-06 23:09:17
0.2736,0.0451,2.2846,0,0.9157,0.9801,0.9529,0.2094,0.2094,0,0,0.759,0.9276,0.8367,0.1,2024-06-06 23:10:02
0.2653,0.0411,2.2423,0,0.9229,0.982,0.9584,0.2171,0.2171,0,0,0.7667,0.9324,0.8429,0.1,2024-06-06 23:10:48
0.2626,0.0428,2.1982,0,0.9236,0.9815,0.9589,0.2167,0.2167,0,0,0.7667,0.9319,0.8369,0.1,2024-06-06 23:11:34
0.2502,0.0354,2.1486,0,0.9338,0.9843,0.9648,0.2309,0.2309,0,0,0.7664,0.9385,0.8346,0.1,2024-06-06 23:12:19
0.243,0.0326,2.104,0,0.9379,0.9857,0.967,0.2373,0.2373,0,0,0.7701,0.9343,0.8364,0.1,2024-06-06 23:13:05
0.2392,0.0328,2.0642,0,0.9385,0.9855,0.9674,0.2334,0.2334,0,0,0.7596,0.9353,0.8259,0.1,2024-06-06 23:13:51
0.2339,0.0307,2.0313,0,0.9426,0.9867,0.9696,0.2157,0.2157,0,0,0.7771,0.9383,0.8462,0.1,2024-06-06 23:14:38
0.235,0.0286,2.0639,0,0.9462,0.9875,0.9717,0.2444,0.2444,0,0,0.7647,0.9385,0.8311,0.1,2024-06-06 23:15:24
0.2252,0.0284,1.9681,0,0.9463,0.9876,0.9717,0.2359,0.2359,0,0,0.7724,0.9405,0.8345,0.1,2024-06-06 23:16:10
0.2288,0.0354,1.934,0,0.936,0.9848,0.9659,0.2783,0.2783,0,0,0.7563,0.936,0.82,0.1,2024-06-06 23:16:56
0.2401,0.0499,1.9022,0,0.9143,0.9792,0.953,0.2248,0.2248,0,0,0.7455,0.9324,0.8165,0.1,2024-06-06 23:17:43
0.2443,0.0569,1.8747,0,0.8963,0.9749,0.9403,0.2491,0.2491,0,0,0.7231,0.9321,0.7939,0.1,2024-06-06 23:18:29
0.2396,0.0551,1.8454,0,0.9026,0.9765,0.9454,0.2445,0.2445,0,0,0.7542,0.9202,0.8331,0.1,2024-06-06 23:19:15
0.2322,0.0495,1.8272,0,0.9099,0.9781,0.9504,0.202,0.202,0,0,0.7671,0.9413,0.8428,0.1,2024-06-06 23:20:02
0.2194,0.0397,1.7967,0,0.9218,0.9822,0.957,0.23,0.23,0,0,0.7639,0.9379,0.8317,0.1,2024-06-06 23:20:49
0.2119,0.0348,1.7713,0,0.9342,0.9846,0.965,0.2374,0.2374,0,0,0.7741,0.9408,0.8378,0.1,2024-06-06 23:21:35
0.2033,0.028,1.7529,0,0.9457,0.9875,0.9715,0.2297,0.2297,0,0,0.7748,0.9416,0.8444,0.1,2024-06-06 23:22:21
0.1984,0.0252,1.7321,0,0.9522,0.9889,0.975,0.2103,0.2103,0,0,0.7839,0.9415,0.8547,0.1,2024-06-06 23:23:08
0.198,0.0243,1.7372,0,0.9536,0.9894,0.9758,0.225,0.225,0,0,0.7746,0.9406,0.8427,0.1,2024-06-06 23:23:54
0.1946,0.0248,1.698,0,0.9535,0.9891,0.9757,0.2227,0.2227,0,0,0.7735,0.9399,0.8402,0.1,2024-06-06 23:24:41
0.2344,0.0232,2.1115,0,0.9554,0.9899,0.9768,0.2123,0.2123,0,0,0.7851,0.9417,0.8527,0.1,2024-06-06 23:25:28
0.263,0.0228,2.4022,0,0.957,0.9901,0.9776,0.2358,0.2358,0,0,0.7744,0.9388,0.8416,0.1,2024-06-06 23:26:14
0.2209,0.0228,1.9813,0,0.9573,0.99,0.9778,0.227,0.227,0,0,0.7771,0.9401,0.8454,0.1,2024-06-06 23:27:01
0.2099,0.0226,1.8739,0,0.9578,0.9901,0.9781,0.2364,0.2364,0,0,0.7653,0.9386,0.8314,0.1,2024-06-06 23:27:48
0.2012,0.0225,1.7873,0,0.9576,0.9902,0.978,0.2253,0.2253,0,0,0.7757,0.9384,0.8465,0.1,2024-06-06 23:28:35
0.1935,0.0229,1.7061,0,0.9563,0.9901,0.9773,0.2294,0.2294,0,0,0.7792,0.9427,0.8469,0.1,2024-06-06 23:29:21
0.1827,0.0232,1.5952,0,0.9566,0.9899,0.9774,0.2285,0.2285,0,0,0.7631,0.9373,0.8336,0.1,2024-06-06 23:30:20
0.1708,0.0223,1.4852,0,0.9576,0.9903,0.978,0.2275,0.2275,0,0,0.7767,0.9408,0.8441,0.1,2024-06-06 23:32:09
0.1691,0.0227,1.4637,0,0.9568,0.9901,0.9775,0.2458,0.2458,0,0,0.7675,0.939,0.8338,0.1,2024-06-06 23:33:15
0.1646,0.0246,1.4002,0,0.9541,0.9893,0.9761,0.2625,0.2625,0,0,0.7597,0.9365,0.8249,0.1,2024-06-06 23:34:16
0.1623,0.0268,1.3553,0,0.9503,0.9884,0.974,0.3544,0.3544,0,0,0.6867,0.9254,0.7478,0.1,2024-06-06 23:35:02
0.1787,0.0473,1.314,0,0.9209,0.9809,0.9555,0.2901,0.2901,0,0,0.7253,0.9244,0.7938,0.1,2024-06-06 23:35:49
0.2202,0.0931,1.271,0,0.8467,0.9606,0.9042,0.211,0.211,0,0,0.7374,0.9244,0.8156,0.1,2024-06-06 23:36:35
0.2223,0.0937,1.2866,0,0.8428,0.959,0.9044,0.2046,0.2046,0,0,0.7552,0.9305,0.832,0.1,2024-06-06 23:37:22
0.1969,0.0686,1.2828,0,0.8711,0.9693,0.9251,0.1787,0.1787,0,0,0.7746,0.9412,0.8451,0.1,2024-06-06 23:38:09
0.1671,0.0477,1.1934,0,0.9118,0.9789,0.9515,0.2084,0.2084,0,0,0.7632,0.9392,0.829,0.1,2024-06-06 23:38:55
0.1537,0.0388,1.1494,0,0.9289,0.983,0.9619,0.2071,0.2071,0,0,0.7637,0.9412,0.8267,0.1,2024-06-06 23:39:41
0.1453,0.0324,1.1283,0,0.9389,0.9858,0.9677,0.2167,0.2167,0,0,0.7771,0.9415,0.8425,0.1,2024-06-06 23:40:28
0.1413,0.0289,1.1243,0,0.9454,0.9872,0.9713,0.2129,0.2129,0,0,0.7693,0.9393,0.8393,0.1,2024-06-06 23:41:14
0.1398,0.0264,1.1342,0,0.9499,0.9883,0.9738,0.226,0.226,0,0,0.7635,0.9402,0.8294,0.1,2024-06-06 23:42:01
0.1477,0.0261,1.2165,0,0.9508,0.9887,0.9743,0.2388,0.2388,0,0,0.7716,0.94,0.8371,0.1,2024-06-06 23:42:48
0.1455,0.0243,1.2114,0,0.9542,0.9893,0.9761,0.2186,0.2186,0,0,0.7754,0.9408,0.8419,0.1,2024-06-06 23:43:35
0.1407,0.023,1.1772,0,0.9565,0.99,0.9773,0.2247,0.2247,0,0,0.7675,0.9421,0.8331,0.1,2024-06-06 23:44:21
0.1344,0.0221,1.1223,0,0.9579,0.9904,0.9781,0.2576,0.2576,0,0,0.7559,0.9394,0.8162,0.1,2024-06-06 23:45:08
0.1328,0.0228,1.0993,0,0.9557,0.9901,0.9769,0.2197,0.2197,0,0,0.7696,0.9415,0.8282,0.1,2024-06-06 23:45:54
0.132,0.0234,1.0855,0,0.9561,0.9897,0.9771,0.2116,0.2116,0,0,0.7644,0.9401,0.8303,0.1,2024-06-06 23:46:41
0.1295,0.0221,1.0732,0,0.957,0.9904,0.9776,0.2427,0.2427,0,0,0.7567,0.9397,0.8211,0.1,2024-06-06 23:47:27
0.1363,0.0223,1.1402,0,0.958,0.9903,0.9782,0.2522,0.2522,0,0,0.7445,0.9365,0.8065,0.1,2024-06-06 23:48:45
0.1455,0.0235,1.2208,0,0.9545,0.9898,0.9762,0.279,0.279,0,0,0.7311,0.9363,0.7903,0.1,2024-06-06 23:50:44
0.1292,0.027,1.0226,0,0.9486,0.9884,0.9729,0.2463,0.2463,0,0,0.7533,0.9394,0.8157,0.1,2024-06-06 23:52:41
0.1276,0.0284,0.992,0,0.9482,0.9878,0.9727,0.2534,0.2534,0,0,0.7391,0.9374,0.8049,0.1,2024-06-06 23:53:47
0.1248,0.0275,0.9725,0,0.9472,0.988,0.9722,0.3141,0.3141,0,0,0.7394,0.9378,0.7987,0.1,2024-06-06 23:54:34
0.125,0.0271,0.9782,0,0.9486,0.9881,0.973,0.2708,0.2708,0,0,0.7363,0.9345,0.7947,0.1,2024-06-06 23:55:21
0.1252,0.0281,0.9706,0,0.9469,0.9879,0.972,0.3074,0.3074,0,0,0.7154,0.9301,0.7751,0.1,2024-06-06 23:56:07
0.1306,0.0353,0.9526,0,0.9359,0.9847,0.9658,0.2276,0.2276,0,0,0.758,0.9334,0.8305,0.1,2024-06-06 23:56:53
0.1411,0.0426,0.9853,0,0.923,0.9818,0.9579,0.2208,0.2208,0,0,0.7641,0.9251,0.8435,0.1,2024-06-06 23:57:39
0.1607,0.0617,0.9895,0,0.8928,0.9739,0.9367,0.2123,0.2123,0,0,0.7481,0.9311,0.82,0.1,2024-06-06 23:58:25
0.1865,0.0902,0.9625,0,0.8543,0.9633,0.9122,0.1966,0.1966,0,0,0.7471,0.9272,0.8268,0.1,2024-06-06 23:59:11
0.1761,0.0793,0.9673,0,0.8647,0.9655,0.92,0.2028,0.2028,0,0,0.7542,0.9317,0.83,0.1,2024-06-06 23:59:58
0.1566,0.0608,0.9581,0,0.888,0.9729,0.9355,0.2104,0.2104,0,0,0.7506,0.9366,0.8163,0.1,2024-06-07 00:00:45
0.1385,0.0438,0.9466,0,0.9164,0.9808,0.9543,0.1926,0.1926,0,0,0.7691,0.9401,0.8384,0.1,2024-06-07 00:01:44
0.1335,0.0354,0.9804,0,0.9331,0.9842,0.9643,0.2132,0.2132,0,0,0.7683,0.9426,0.8352,0.1,2024-06-07 00:02:30
0.1259,0.0304,0.9554,0,0.9417,0.9865,0.9692,0.2226,0.2226,0,0,0.7687,0.9423,0.8343,0.1,2024-06-07 00:03:17
0.1286,0.0278,1.0083,0,0.9459,0.9877,0.9716,0.2145,0.2145,0,0,0.7731,0.9438,0.8396,0.1,2024-06-07 00:04:04
0.1235,0.0276,0.9584,0,0.9461,0.9878,0.9716,0.2141,0.2141,0,0,0.7719,0.9418,0.8362,0.1,2024-06-07 00:04:50
0.1224,0.0272,0.9522,0,0.9491,0.9879,0.9733,0.2065,0.2065,0,0,0.7759,0.9437,0.8411,0.1,2024-06-07 00:05:36
0.1174,0.0243,0.9311,0,0.9528,0.9892,0.9754,0.1891,0.1891,0,0,0.7899,0.9466,0.8564,0.1,2024-06-07 00:06:23
