t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
1.0268,0.3205,7.0623,0,0.4341,0.8219,0.5152,0.2551,0.2551,0,0,0.4552,0.8895,0.4759,2024-06-02 12:45:33
0.7751,0.1504,6.247,0,0.5398,0.9055,0.602,0.1745,0.1745,0,0,0.6644,0.9125,0.7523,2024-06-02 12:47:35
0.6491,0.1139,5.3519,0,0.6545,0.9265,0.7417,0.1603,0.1603,0,0,0.751,0.9338,0.8275,2024-06-02 12:49:38
0.5945,0.0828,5.1171,0,0.7918,0.9538,0.8673,0.1548,0.1548,0,0,0.7658,0.9409,0.8452,2024-06-02 12:51:39
0.644,0.0672,5.7676,0,0.8402,0.9637,0.9053,0.1928,0.1928,0,0,0.7648,0.937,0.8421,2024-06-02 12:53:40
0.5613,0.0642,4.9709,0,0.8489,0.9664,0.9089,0.1892,0.1892,0,0,0.7774,0.939,0.8521,2024-06-02 12:55:41
0.5452,0.0625,4.8263,0,0.8525,0.9675,0.9121,0.1493,0.1493,0,0,0.7783,0.9464,0.8511,2024-06-02 12:57:42
0.5266,0.0541,4.7243,0,0.869,0.9713,0.9236,0.1691,0.1691,0,0,0.7924,0.945,0.8673,2024-06-02 12:59:44
0.5158,0.0528,4.63,0,0.8852,0.9731,0.9354,0.1795,0.1795,0,0,0.7755,0.945,0.8512,2024-06-02 13:01:46
0.5058,0.0482,4.5755,0,0.8854,0.9749,0.935,0.1559,0.1559,0,0,0.8036,0.9481,0.8756,2024-06-02 13:03:48
0.4952,0.0413,4.5387,0,0.9014,0.9781,0.9455,0.1648,0.1648,0,0,0.8093,0.9478,0.8767,2024-06-02 13:05:50
0.4899,0.0384,4.5142,0,0.9137,0.9802,0.953,0.1767,0.1767,0,0,0.8123,0.9471,0.8803,2024-06-02 13:07:51
0.4872,0.0367,4.5047,0,0.9176,0.9815,0.9554,0.1842,0.1842,0,0,0.8077,0.9479,0.878,2024-06-02 13:09:53
0.4859,0.0362,4.4963,0,0.9183,0.9817,0.9558,0.1839,0.1839,0,0,0.8094,0.9473,0.878,2024-06-02 13:11:55
0.4857,0.0359,4.4973,0,0.9225,0.9818,0.9582,0.1716,0.1716,0,0,0.817,0.9517,0.8851,2024-06-02 13:13:58
0.4834,0.0334,4.5,0,0.9228,0.9829,0.9584,0.1822,0.1822,0,0,0.8157,0.9497,0.8832,2024-06-02 13:16:00
0.4817,0.0317,4.5005,0,0.9266,0.9838,0.9606,0.1773,0.1773,0,0,0.821,0.9513,0.8881,2024-06-02 13:18:01
0.4804,0.0306,4.4985,0,0.9297,0.9844,0.9622,0.1858,0.1858,0,0,0.8196,0.9505,0.887,2024-06-02 13:20:03
0.4778,0.0284,4.4942,0,0.9346,0.9853,0.9652,0.1818,0.1818,0,0,0.8203,0.9502,0.8867,2024-06-02 13:22:05
0.479,0.0297,4.4931,0,0.9337,0.9848,0.9647,0.188,0.188,0,0,0.8202,0.9513,0.887,2024-06-02 13:24:07
0.4769,0.0277,4.492,0,0.9337,0.9857,0.9645,0.1893,0.1893,0,0,0.8161,0.951,0.8846,2024-06-02 13:26:09
0.4765,0.0271,4.4933,0,0.9379,0.986,0.9671,0.1922,0.1922,0,0,0.8185,0.9506,0.8852,2024-06-02 13:28:11
0.474,0.0255,4.4848,0,0.9408,0.9868,0.9688,0.2045,0.2045,0,0,0.8187,0.9483,0.8855,2024-06-02 13:30:14
0.4715,0.0238,4.4768,0,0.9441,0.9876,0.9705,0.2134,0.2134,0,0,0.8166,0.9489,0.8835,2024-06-02 13:32:15
0.4696,0.0228,4.4682,0,0.9473,0.9881,0.9724,0.2062,0.2062,0,0,0.8236,0.9503,0.8892,2024-06-02 13:34:17
0.4683,0.022,4.4636,0,0.9489,0.9886,0.9732,0.2036,0.2036,0,0,0.8237,0.9501,0.8887,2024-06-02 13:36:19
0.4666,0.0214,4.4522,0,0.9506,0.9889,0.9742,0.2254,0.2254,0,0,0.8127,0.9505,0.8813,2024-06-02 13:38:21
0.4658,0.0222,4.4364,0,0.9474,0.9886,0.9723,0.2086,0.2086,0,0,0.821,0.9521,0.8879,2024-06-02 13:40:24
0.4652,0.022,4.4324,0,0.9499,0.9887,0.9737,0.2167,0.2167,0,0,0.8232,0.9496,0.8891,2024-06-02 13:42:27
0.4626,0.0207,4.4189,0,0.9514,0.9892,0.9746,0.2264,0.2264,0,0,0.8137,0.9491,0.8819,2024-06-02 13:44:30
0.4612,0.0204,4.4079,0,0.9523,0.9894,0.975,0.2129,0.2129,0,0,0.8234,0.9518,0.8893,2024-06-02 13:46:33
0.4594,0.0199,4.3947,0,0.9542,0.9896,0.9761,0.2149,0.2149,0,0,0.8269,0.9503,0.8911,2024-06-02 13:48:36
0.4578,0.02,4.3775,0,0.955,0.9897,0.9766,0.2192,0.2192,0,0,0.8235,0.9509,0.8884,2024-06-02 13:50:39
0.455,0.0186,4.3647,0,0.9565,0.9902,0.9774,0.2265,0.2265,0,0,0.8215,0.9512,0.8872,2024-06-02 13:52:43
0.4525,0.0175,4.3495,0,0.9571,0.9907,0.9777,0.2344,0.2344,0,0,0.8197,0.9504,0.8846,2024-06-02 13:54:46
0.4495,0.0163,4.3318,0,0.9595,0.9912,0.979,0.2369,0.2369,0,0,0.8241,0.9507,0.8885,2024-06-02 13:56:49
0.4493,0.0178,4.315,0,0.9604,0.9908,0.9795,0.2315,0.2315,0,0,0.8266,0.9519,0.8911,2024-06-02 13:58:54
0.4478,0.0174,4.3037,0,0.959,0.991,0.9787,0.2244,0.2244,0,0,0.829,0.9521,0.8926,2024-06-02 14:00:57
0.4451,0.0173,4.2785,0,0.9598,0.991,0.9791,0.233,0.233,0,0,0.8275,0.9518,0.892,2024-06-02 14:03:00
0.443,0.017,4.2601,0,0.9586,0.9911,0.9784,0.2267,0.2267,0,0,0.8284,0.9522,0.8924,2024-06-02 14:05:05
0.4404,0.0156,4.2473,0,0.9637,0.9917,0.9813,0.237,0.237,0,0,0.8269,0.9513,0.8905,2024-06-02 14:07:08
0.4365,0.0152,4.2126,0,0.9617,0.9919,0.9801,0.2435,0.2435,0,0,0.8249,0.9502,0.8888,2024-06-02 14:09:12
0.4930,0.0149,4.7815,0,0.9649,0.9921,0.9819,0.2431,0.2431,0,0,0.8268,0.9512,0.8903,2024-06-02 14:11:15
