t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.9102,0.0366,1.7471,0,0.9368,0.9868,0.9614,0.303,0.303,0,0,0.7615,0.933,0.8381,0.5,2024-06-03 13:05:36
1.2851,0.0365,2.4973,0,0.9379,0.9867,0.9629,0.3046,0.3046,0,0,0.7608,0.9333,0.8372,0.5,2024-06-03 13:09:13
1.2528,0.0366,2.4324,0,0.936,0.9865,0.9612,0.302,0.302,0,0,0.7611,0.9335,0.8377,0.5,2024-06-03 13:12:58
1.1646,0.0351,2.2589,0,0.9373,0.9869,0.9623,0.3011,0.3011,0,0,0.7622,0.9338,0.8386,0.5,2024-06-03 13:16:49
1.1718,0.0352,2.2733,0,0.9367,0.987,0.9615,0.3026,0.3026,0,0,0.7616,0.9334,0.8382,0.5,2024-06-03 13:20:48
1.1824,0.0373,2.2902,0,0.9361,0.9865,0.9612,0.3014,0.3014,0,0,0.7612,0.9337,0.8376,0.5,2024-06-03 13:24:54
1.1293,0.0355,2.1876,0,0.9374,0.9868,0.9623,0.2996,0.2996,0,0,0.7624,0.9335,0.839,0.5,2024-06-03 13:29:04
1.1286,0.0354,2.1863,0,0.9366,0.9869,0.9614,0.2999,0.2999,0,0,0.7617,0.9339,0.838,0.5,2024-06-03 13:33:21
1.1064,0.035,2.1428,0,0.9379,0.9869,0.9629,0.2994,0.2994,0,0,0.7621,0.9336,0.8387,0.5,2024-06-03 13:37:44
1.0814,0.0378,2.0872,0,0.9375,0.9865,0.9624,0.3035,0.3035,0,0,0.7611,0.9332,0.8378,0.5,2024-06-03 13:42:15
1.058,0.0346,2.0468,0,0.9395,0.9871,0.9644,0.3003,0.3003,0,0,0.762,0.9333,0.8387,0.5,2024-06-03 13:46:52
1.0823,0.0356,2.0933,0,0.9364,0.9868,0.9612,0.2998,0.2998,0,0,0.7621,0.9338,0.8386,0.5,2024-06-03 13:51:35
1.0812,0.0343,2.0938,0,0.9382,0.9871,0.9631,0.301,0.301,0,0,0.7619,0.9335,0.8383,0.5,2024-06-03 13:56:24
1.1003,0.0344,2.1318,0,0.937,0.987,0.9617,0.3003,0.3003,0,0,0.7618,0.9338,0.8382,0.5,2024-06-03 14:01:19
1.0894,0.0352,2.1085,0,0.9391,0.9871,0.9636,0.3027,0.3027,0,0,0.7617,0.9335,0.8382,0.5,2024-06-03 14:06:19
1.0724,0.0357,2.0734,0,0.9367,0.9869,0.9614,0.3017,0.3017,0,0,0.7609,0.9332,0.8374,0.5,2024-06-03 14:11:28
1.0705,0.0357,2.0697,0,0.9367,0.9868,0.9617,0.3006,0.3006,0,0,0.7618,0.9336,0.8382,0.5,2024-06-03 14:16:41
1.0609,0.0348,2.0521,0,0.9381,0.987,0.9631,0.2974,0.2974,0,0,0.7631,0.9342,0.8396,0.5,2024-06-03 14:22:01
1.0694,0.0349,2.0691,0,0.9388,0.9872,0.9634,0.2989,0.2989,0,0,0.7625,0.9335,0.8391,0.5,2024-06-03 14:27:28
1.0565,0.0329,2.0472,0,0.9382,0.9871,0.9632,0.3045,0.3045,0,0,0.7619,0.933,0.8385,0.5,2024-06-03 14:33:02
1.0622,0.0345,2.0553,0,0.9371,0.987,0.9621,0.3026,0.3026,0,0,0.7616,0.9335,0.8381,0.5,2024-06-03 14:38:41
