t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.9598,0.3767,5.8311,0,0.5759,0.8079,0.6858,0.2529,0.2529,0,0,0.6583,0.9134,0.7495,0.1,2024-06-03 09:46:53
0.6585,0.1571,5.0144,0,0.7676,0.9364,0.8506,0.1561,0.1561,0,0,0.7445,0.9311,0.8263,0.1,2024-06-03 09:48:54
0.7008,0.1096,5.9115,0,0.8203,0.9548,0.8893,0.1838,0.1838,0,0,0.7425,0.9371,0.819,0.1,2024-06-03 09:50:55
0.6388,0.0865,5.5223,0,0.851,0.9634,0.9114,0.1683,0.1683,0,0,0.7628,0.939,0.8386,0.1,2024-06-03 09:52:57
0.5811,0.0816,4.9951,0,0.8621,0.9644,0.9205,0.1761,0.1761,0,0,0.7564,0.9387,0.8326,0.1,2024-06-03 09:54:58
0.5436,0.0699,4.7371,0,0.87,0.9703,0.9224,0.1794,0.1794,0,0,0.7686,0.9391,0.8429,0.1,2024-06-03 09:56:57
0.5252,0.0592,4.6595,0,0.8922,0.9746,0.9392,0.1797,0.1797,0,0,0.7635,0.9423,0.8383,0.1,2024-06-03 09:58:55
0.5177,0.0552,4.6253,0,0.8973,0.9759,0.9426,0.1962,0.1962,0,0,0.7677,0.9396,0.8392,0.1,2024-06-03 10:00:53
0.5072,0.0471,4.6014,0,0.9107,0.9795,0.9511,0.1851,0.1851,0,0,0.7809,0.9445,0.8512,0.1,2024-06-03 10:02:51
0.9122,0.045,4.5644,0,0.9174,0.9804,0.9553,0.1987,0.1987,0,0,0.7746,0.9437,0.8468,0.19,2024-06-03 10:04:49
0.907,0.0471,4.5261,0,0.9106,0.9796,0.9506,0.1969,0.1969,0,0,0.7756,0.9439,0.8485,0.19,2024-06-03 10:06:46
0.9017,0.0434,4.5173,0,0.9185,0.9809,0.9559,0.1881,0.1881,0,0,0.784,0.9428,0.8537,0.19,2024-06-03 10:08:43
0.897,0.039,4.5155,0,0.9261,0.9827,0.9604,0.1913,0.1913,0,0,0.7808,0.9433,0.8524,0.19,2024-06-03 10:10:40
0.8946,0.0359,4.5194,0,0.9315,0.9841,0.9634,0.2037,0.2037,0,0,0.786,0.9456,0.8557,0.19,2024-06-03 10:12:38
0.8943,0.0337,4.5295,0,0.9338,0.985,0.9643,0.2107,0.2107,0,0,0.7876,0.9446,0.8583,0.19,2024-06-03 10:14:35
0.8933,0.0325,4.5306,0,0.9378,0.9855,0.967,0.219,0.219,0,0,0.7806,0.9443,0.852,0.19,2024-06-03 10:16:33
0.8941,0.0319,4.5382,0,0.9383,0.9859,0.9673,0.2081,0.2081,0,0,0.7893,0.9421,0.8603,0.19,2024-06-03 10:18:31
0.8924,0.0307,4.5354,0,0.9406,0.9863,0.9685,0.2059,0.2059,0,0,0.7952,0.9442,0.8632,0.19,2024-06-03 10:20:29
0.8899,0.0294,4.5289,0,0.9417,0.9868,0.9692,0.2157,0.2157,0,0,0.7877,0.9442,0.8577,0.19,2024-06-03 10:22:26
1.2959,0.0294,4.523,0,0.9448,0.987,0.9709,0.2162,0.2162,0,0,0.7883,0.9474,0.8577,0.28,2024-06-03 10:24:23
1.2894,0.0275,4.5069,0,0.9459,0.9879,0.9715,0.2206,0.2206,0,0,0.7888,0.944,0.8589,0.28,2024-06-03 10:26:22
1.2822,0.0248,4.4907,0,0.9502,0.9889,0.9739,0.2261,0.2261,0,0,0.7931,0.9451,0.8621,0.28,2024-06-03 10:28:20
1.2795,0.025,4.4804,0,0.9514,0.9888,0.9746,0.2244,0.2244,0,0,0.7938,0.9457,0.8628,0.28,2024-06-03 10:30:18
1.2757,0.0242,4.4697,0,0.9526,0.9891,0.9752,0.2358,0.2358,0,0,0.7925,0.9456,0.8623,0.28,2024-06-03 10:32:17
1.2742,0.0244,4.4635,0,0.952,0.9892,0.9749,0.2265,0.2265,0,0,0.7939,0.9463,0.8632,0.28,2024-06-03 10:34:14
1.2746,0.0253,4.4618,0,0.9517,0.9888,0.9747,0.2289,0.2289,0,0,0.7964,0.946,0.8648,0.28,2024-06-03 10:36:12
1.2711,0.0247,4.4514,0,0.9524,0.9891,0.9751,0.2327,0.2327,0,0,0.7883,0.9456,0.858,0.28,2024-06-03 10:38:10
1.2673,0.0246,4.4382,0,0.9521,0.9891,0.975,0.2373,0.2373,0,0,0.7906,0.9436,0.8603,0.28,2024-06-03 10:40:08
1.2627,0.0238,4.4246,0,0.9538,0.9894,0.9759,0.234,0.234,0,0,0.7879,0.9439,0.858,0.28,2024-06-03 10:42:07
1.6551,0.0214,4.4154,0,0.9571,0.9903,0.9777,0.2486,0.2486,0,0,0.7837,0.943,0.8554,0.37,2024-06-03 10:44:03
1.6489,0.0209,4.3999,0,0.9573,0.9906,0.9778,0.2385,0.2385,0,0,0.7949,0.9457,0.8636,0.37,2024-06-03 10:46:01
1.6442,0.0204,4.3887,0,0.96,0.9908,0.9793,0.2489,0.2489,0,0,0.7894,0.9428,0.8594,0.37,2024-06-03 10:47:59
1.6381,0.0195,4.3746,0,0.9611,0.9912,0.9798,0.2438,0.2438,0,0,0.7947,0.9457,0.8634,0.37,2024-06-03 10:49:57
1.6308,0.0188,4.3567,0,0.9628,0.9915,0.9808,0.2476,0.2476,0,0,0.7967,0.9467,0.8646,0.37,2024-06-03 10:51:55
1.6223,0.0174,4.3373,0,0.965,0.992,0.9819,0.2399,0.2399,0,0,0.799,0.946,0.8656,0.37,2024-06-03 10:53:54
1.6142,0.0163,4.3186,0,0.9671,0.9925,0.9831,0.2611,0.2611,0,0,0.7945,0.9446,0.8633,0.37,2024-06-03 10:55:51
1.6071,0.0156,4.3013,0,0.9678,0.9929,0.9834,0.2567,0.2567,0,0,0.7971,0.9441,0.8653,0.37,2024-06-03 10:57:49
1.6022,0.0168,4.2849,0,0.9672,0.9923,0.9831,0.2647,0.2647,0,0,0.7957,0.9453,0.8642,0.37,2024-06-03 10:59:47
1.5946,0.017,4.2639,0,0.9649,0.9923,0.9819,0.2617,0.2617,0,0,0.7959,0.9467,0.864,0.37,2024-06-03 11:01:44
1.9683,0.0165,4.243,0,0.9666,0.9925,0.9828,0.2676,0.2676,0,0,0.7926,0.9443,0.8602,0.4599999999999999,2024-06-03 11:03:43
1.958,0.0167,4.2201,0,0.9671,0.9924,0.9831,0.2618,0.2618,0,0,0.7974,0.9441,0.8653,0.4599999999999999,2024-06-03 11:05:41
1.9879,0.0159,4.287,0,0.9679,0.9928,0.9835,0.2615,0.2615,0,0,0.7954,0.9447,0.8646,0.4599999999999999,2024-06-03 11:07:40
2.0592,0.0153,4.4434,0,0.969,0.993,0.9841,0.2652,0.2652,0,0,0.799,0.9461,0.8666,0.4599999999999999,2024-06-03 11:09:38
1.9985,0.0149,4.3123,0,0.9699,0.9933,0.9845,0.2619,0.2619,0,0,0.7979,0.9446,0.8665,0.4599999999999999,2024-06-03 11:11:37
2.4862,0.015,5.3723,0,0.9702,0.9932,0.9847,0.2638,0.2638,0,0,0.7982,0.9463,0.8662,0.4599999999999999,2024-06-03 11:13:34
2.6125,0.0137,5.6496,0,0.9712,0.9937,0.9852,0.2736,0.2736,0,0,0.7988,0.9456,0.8658,0.4599999999999999,2024-06-03 11:15:33
2.6544,0.0137,5.7408,0,0.972,0.9937,0.9856,0.279,0.279,0,0,0.7976,0.9455,0.8655,0.4599999999999999,2024-06-03 11:17:32
2.7044,0.0142,5.8483,0,0.9715,0.9935,0.9854,0.2827,0.2827,0,0,0.7931,0.9424,0.8623,0.4599999999999999,2024-06-03 11:19:31
2.985,0.0142,6.4582,0,0.9708,0.9935,0.985,0.2888,0.2888,0,0,0.7972,0.945,0.865,0.4599999999999999,2024-06-03 11:21:29
3.4252,0.0142,6.2018,0,0.9704,0.9935,0.9848,0.3006,0.3006,0,0,0.7895,0.9411,0.8596,0.5499999999999999,2024-06-03 11:23:27
2.7935,0.0143,5.0531,0,0.9714,0.9935,0.9854,0.2951,0.2951,0,0,0.7911,0.942,0.8595,0.5499999999999999,2024-06-03 11:25:25
2.6545,0.0309,4.7701,0,0.9542,0.9892,0.9754,0.3036,0.3036,0,0,0.7722,0.9337,0.8485,0.5499999999999999,2024-06-03 11:27:22
2.739,0.1192,4.7632,0,0.8251,0.9559,0.8855,0.1805,0.1805,0,0,0.7423,0.9231,0.8229,0.5499999999999999,2024-06-03 11:29:21
2.6103,0.0858,4.5901,0,0.855,0.9624,0.9127,0.1902,0.1902,0,0,0.7535,0.9211,0.8362,0.5499999999999999,2024-06-03 11:31:19
2.5187,0.0663,4.4588,0,0.882,0.97,0.9327,0.2118,0.2118,0,0,0.7619,0.9238,0.8395,0.5499999999999999,2024-06-03 11:33:18
2.4677,0.065,4.3686,0,0.88,0.9709,0.9313,0.2016,0.2016,0,0,0.7741,0.9275,0.8459,0.5499999999999999,2024-06-03 11:35:16
2.4073,0.0669,4.2553,0,0.8719,0.9688,0.9249,0.2203,0.2203,0,0,0.7371,0.9177,0.8143,0.5499999999999999,2024-06-03 11:37:14
2.3417,0.0592,4.1499,0,0.8833,0.9723,0.9334,0.1714,0.1714,0,0,0.7462,0.9378,0.817,0.5499999999999999,2024-06-03 11:39:12
2.2287,0.0475,3.9657,0,0.9067,0.9777,0.9485,0.1713,0.1713,0,0,0.7672,0.9385,0.8373,0.5499999999999999,2024-06-03 11:41:11
2.545,0.0412,3.9121,0,0.9196,0.9809,0.9563,0.1816,0.1816,0,0,0.7682,0.9415,0.8389,0.64,2024-06-03 11:43:09
2.4578,0.0373,3.782,0,0.9233,0.9827,0.9585,0.1953,0.1953,0,0,0.7706,0.9382,0.8419,0.64,2024-06-03 11:45:07
2.3926,0.0318,3.6888,0,0.9346,0.9851,0.9652,0.2259,0.2259,0,0,0.7564,0.9283,0.8302,0.64,2024-06-03 11:47:05
2.3297,0.0285,3.5957,0,0.9405,0.9867,0.9685,0.2136,0.2136,0,0,0.7582,0.9318,0.8278,0.64,2024-06-03 11:49:03
2.3286,0.0265,3.5971,0,0.9456,0.9875,0.9714,0.2611,0.2611,0,0,0.7428,0.929,0.8127,0.64,2024-06-03 11:51:02
2.2774,0.0284,3.514,0,0.9436,0.9868,0.9703,0.2435,0.2435,0,0,0.7743,0.9318,0.8463,0.64,2024-06-03 11:53:00
2.2481,0.0269,3.4705,0,0.9438,0.9875,0.9703,0.2313,0.2313,0,0,0.7535,0.9358,0.821,0.64,2024-06-03 11:54:58
