t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.1511,0.1056,0.0912,0,0.8871,0.9737,0.9245,0.0469,0.0469,0,0,0.9553,0.9894,0.9725,0.5,2024-06-07 02:19:14
0.1583,0.1137,0.0893,0,0.8856,0.9723,0.9236,0.0474,0.0474,0,0,0.9551,0.9893,0.9724,0.5,2024-06-07 02:19:32
0.1494,0.0981,0.1026,0,0.8887,0.9744,0.9257,0.0473,0.0473,0,0,0.9549,0.9893,0.9723,0.5,2024-06-07 02:19:50
0.1453,0.0989,0.0928,0,0.8897,0.9748,0.9266,0.0477,0.0477,0,0,0.9549,0.9893,0.9723,0.5,2024-06-07 02:20:09
1.0166,0.1041,1.8251,0,0.8883,0.974,0.9258,0.0483,0.0483,0,0,0.9546,0.9892,0.9721,0.5,2024-06-07 02:20:27
0.9365,0.1015,1.6701,0,0.8866,0.974,0.9243,0.047,0.047,0,0,0.9551,0.9894,0.9723,0.5,2024-06-07 02:20:46
0.8199,0.1031,1.4335,0,0.8893,0.9739,0.9264,0.0475,0.0475,0,0,0.9549,0.9893,0.9723,0.5,2024-06-07 02:21:05
0.7221,0.1005,1.2433,0,0.891,0.9746,0.9284,0.0466,0.0466,0,0,0.9556,0.9895,0.9727,0.5,2024-06-07 02:21:23
0.6583,0.1055,1.1055,0,0.8891,0.9736,0.9264,0.0468,0.0468,0,0,0.9554,0.9894,0.9725,0.5,2024-06-07 02:21:42
0.6047,0.1071,0.9953,0,0.8855,0.9732,0.9238,0.0479,0.0479,0,0,0.9546,0.9892,0.9721,0.5,2024-06-07 02:22:01
0.5624,0.1068,0.9111,0,0.8883,0.9737,0.9261,0.0476,0.0476,0,0,0.9552,0.9894,0.9724,0.5,2024-06-07 02:22:21
0.5274,0.1037,0.8473,0,0.8921,0.9743,0.9287,0.0468,0.0468,0,0,0.9555,0.9895,0.9726,0.5,2024-06-07 02:22:40
0.4857,0.0988,0.7739,0,0.8919,0.9747,0.9291,0.047,0.047,0,0,0.9551,0.9893,0.9724,0.5,2024-06-07 02:23:00
0.4666,0.101,0.7312,0,0.8903,0.9744,0.9278,0.0475,0.0475,0,0,0.9551,0.9893,0.9724,0.5,2024-06-07 02:23:19
0.4477,0.101,0.6934,0,0.8893,0.9746,0.9261,0.0475,0.0475,0,0,0.9553,0.9894,0.9725,0.5,2024-06-07 02:23:39
