t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.8403,0.3335,5.0677,0,0.5663,0.8335,0.6734,0.2673,0.2673,0,0,0.5881,0.9012,0.6616,0.1,2024-06-07 02:25:18
0.5932,0.1529,4.4029,0,0.7523,0.9353,0.8368,0.1754,0.1754,0,0,0.7417,0.932,0.8216,0.1,2024-06-07 02:29:58
0.5302,0.1159,4.1429,0,0.8011,0.95,0.8753,0.1761,0.1761,0,0,0.7539,0.935,0.8322,0.1,2024-06-07 02:34:40
0.4864,0.0874,3.9895,0,0.8442,0.9625,0.9063,0.2072,0.2072,0,0,0.7484,0.9318,0.8276,0.1,2024-06-07 02:39:16
0.4727,0.0816,3.9106,0,0.8535,0.9649,0.9136,0.1823,0.1823,0,0,0.7752,0.9402,0.8465,0.1,2024-06-07 02:43:56
0.4587,0.0719,3.8676,0,0.8701,0.9688,0.9257,0.2088,0.2088,0,0,0.7569,0.9346,0.834,0.1,2024-06-07 02:48:40
0.4443,0.0624,3.8189,0,0.8827,0.9729,0.9335,0.1618,0.1618,0,0,0.7902,0.9458,0.8634,0.1,2024-06-07 02:53:10
0.4347,0.056,3.7872,0,0.8941,0.9757,0.941,0.1813,0.1813,0,0,0.7914,0.9408,0.8616,0.1,2024-06-07 02:57:51
0.4279,0.0528,3.7519,0,0.9028,0.9767,0.9465,0.1665,0.1665,0,0,0.805,0.945,0.8718,0.1,2024-06-07 03:02:29
0.4151,0.0443,3.7078,0,0.9142,0.9804,0.9527,0.1929,0.1929,0,0,0.7994,0.9446,0.8673,0.1,2024-06-07 03:07:05
0.4089,0.0409,3.6798,0,0.9221,0.982,0.9579,0.2048,0.2048,0,0,0.7936,0.9421,0.8644,0.1,2024-06-07 03:11:36
0.4035,0.0397,3.6375,0,0.9248,0.9826,0.9594,0.191,0.191,0,0,0.7997,0.945,0.8689,0.1,2024-06-07 03:16:09
0.3999,0.0393,3.6059,0,0.9237,0.9826,0.9589,0.1668,0.1668,0,0,0.8175,0.9498,0.882,0.1,2024-06-07 03:20:42
0.3917,0.034,3.5774,0,0.9331,0.9848,0.9643,0.1986,0.1986,0,0,0.8049,0.9459,0.8722,0.1,2024-06-07 03:25:13
0.3851,0.0312,3.5388,0,0.9384,0.9861,0.9674,0.2189,0.2189,0,0,0.7958,0.9433,0.8662,0.1,2024-06-07 03:29:45
0.3813,0.0316,3.4963,0,0.9377,0.9859,0.9668,0.1967,0.1967,0,0,0.8155,0.9463,0.8815,0.1,2024-06-07 03:34:25
0.3747,0.0304,3.4429,0,0.9399,0.9864,0.9682,0.195,0.195,0,0,0.8167,0.9468,0.8831,0.1,2024-06-07 03:39:01
0.3722,0.0325,3.3961,0,0.9378,0.9854,0.9671,0.2258,0.2258,0,0,0.7956,0.9438,0.8652,0.1,2024-06-07 03:43:34
0.3658,0.0282,3.3761,0,0.9442,0.9873,0.9706,0.2066,0.2066,0,0,0.8078,0.9469,0.8752,0.1,2024-06-07 03:48:09
0.3589,0.0264,3.3259,0,0.947,0.9882,0.9722,0.2174,0.2174,0,0,0.812,0.9467,0.8779,0.1,2024-06-07 03:52:47
0.3556,0.0261,3.2943,0,0.9485,0.9882,0.973,0.2142,0.2142,0,0,0.813,0.9474,0.8787,0.1,2024-06-07 03:57:22
0.3504,0.0252,3.2526,0,0.9482,0.9888,0.9726,0.2184,0.2184,0,0,0.818,0.947,0.8838,0.1,2024-06-07 04:01:57
0.3476,0.0264,3.2115,0,0.9488,0.988,0.9732,0.2331,0.2331,0,0,0.8044,0.9453,0.8711,0.1,2024-06-07 04:06:32
0.3436,0.0253,3.1829,0,0.9482,0.9886,0.9726,0.2473,0.2473,0,0,0.799,0.9437,0.8671,0.1,2024-06-07 04:11:08
0.3404,0.0252,3.1521,0,0.9488,0.9886,0.9732,0.2523,0.2523,0,0,0.7986,0.9442,0.8676,0.1,2024-06-07 04:15:45
0.3347,0.0235,3.112,0,0.9521,0.9894,0.9749,0.2297,0.2297,0,0,0.8152,0.9463,0.88,0.1,2024-06-07 04:20:23
0.3307,0.0222,3.0856,0,0.9545,0.9899,0.9763,0.2327,0.2327,0,0,0.8132,0.9463,0.8798,0.1,2024-06-07 04:24:56
0.3301,0.0242,3.0593,0,0.9537,0.9891,0.9759,0.2262,0.2262,0,0,0.818,0.947,0.8824,0.1,2024-06-07 04:29:30
0.3254,0.0218,3.0364,0,0.9565,0.9901,0.9774,0.224,0.224,0,0,0.8131,0.9466,0.8799,0.1,2024-06-07 04:34:05
0.3209,0.0203,3.0064,0,0.9592,0.9907,0.9788,0.234,0.234,0,0,0.8111,0.9463,0.8767,0.1,2024-06-07 04:38:36
0.3178,0.0189,2.9888,0,0.961,0.9914,0.9798,0.2401,0.2401,0,0,0.8164,0.9466,0.8808,0.1,2024-06-07 04:43:10
0.3143,0.0179,2.9637,0,0.9629,0.9918,0.9808,0.2306,0.2306,0,0,0.8259,0.9489,0.8881,0.1,2024-06-07 04:47:46
0.3095,0.0168,2.9277,0,0.9658,0.9923,0.9824,0.2576,0.2576,0,0,0.813,0.9462,0.8777,0.1,2024-06-07 04:52:19
0.3069,0.0166,2.9028,0,0.9652,0.9925,0.982,0.2559,0.2559,0,0,0.8134,0.9463,0.8777,0.1,2024-06-07 04:56:57
0.3037,0.0167,2.8703,0,0.9653,0.9924,0.9821,0.2623,0.2623,0,0,0.8157,0.9458,0.8808,0.1,2024-06-07 05:01:39
0.3017,0.0167,2.8502,0,0.9667,0.9924,0.9828,0.2409,0.2409,0,0,0.8232,0.9487,0.8867,0.1,2024-06-07 05:06:16
0.2979,0.016,2.8195,0,0.9672,0.9928,0.9831,0.2565,0.2565,0,0,0.8164,0.9465,0.8804,0.1,2024-06-07 05:10:50
0.2967,0.017,2.7966,0,0.9661,0.9923,0.9825,0.2456,0.2456,0,0,0.8189,0.9477,0.8825,0.1,2024-06-07 05:15:22
0.2966,0.0177,2.7887,0,0.9643,0.992,0.9815,0.2604,0.2604,0,0,0.8162,0.9465,0.8812,0.1,2024-06-07 05:20:02
0.294,0.0162,2.7778,0,0.9662,0.9926,0.9826,0.2418,0.2418,0,0,0.8238,0.9478,0.887,0.1,2024-06-07 05:24:38
0.2916,0.0156,2.7595,0,0.9678,0.9928,0.9835,0.2554,0.2554,0,0,0.8171,0.9466,0.8807,0.1,2024-06-07 05:29:15
0.2898,0.0154,2.7446,0,0.9685,0.993,0.9838,0.274,0.274,0,0,0.8131,0.9458,0.8789,0.1,2024-06-07 05:33:46
0.2878,0.0151,2.7273,0,0.9687,0.9931,0.9839,0.2607,0.2607,0,0,0.8199,0.9467,0.8834,0.1,2024-06-07 05:38:21
0.2864,0.0148,2.7161,0,0.9694,0.9932,0.9843,0.2721,0.2721,0,0,0.8182,0.9458,0.8819,0.1,2024-06-07 05:42:56
0.2841,0.0143,2.6979,0,0.9703,0.9935,0.9848,0.2715,0.2715,0,0,0.8197,0.9472,0.8823,0.1,2024-06-07 05:47:37
0.2814,0.0143,2.6711,0,0.9708,0.9934,0.985,0.2743,0.2743,0,0,0.8138,0.9464,0.8792,0.1,2024-06-07 05:52:09
0.2808,0.0145,2.6629,0,0.9696,0.9934,0.9844,0.2738,0.2738,0,0,0.8164,0.9462,0.8807,0.1,2024-06-07 05:56:46
0.28,0.0145,2.6551,0,0.9702,0.9934,0.9847,0.2694,0.2694,0,0,0.8229,0.9473,0.8866,0.1,2024-06-07 06:01:19
