t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time,PatchCL_weight
1.0557,0.0109,2.0896,0,0.9753,0.9945,0.9874,0.3789,0.3789,0,0,0.7766,0.9429,0.8402,2024-06-03 05:25:40,
1.0621,0.0108,2.1026,0,0.9754,0.9945,0.9874,0.3837,0.3837,0,0,0.7751,0.9426,0.8388,2024-06-03 05:35:25,
0.9202,0.0108,1.819,0,0.9752,0.9945,0.9873,0.3938,0.3938,0,0,0.7707,0.9416,0.8338,2024-06-03 05:45:13,
0.8719,0.0108,1.722,0,0.9751,0.9945,0.9872,0.3685,0.3685,0,0,0.7797,0.9438,0.8437,2024-06-03 05:55:03,
0.9277,0.0108,1.8339,0,0.9755,0.9945,0.9875,0.3829,0.3829,0,0,0.7748,0.9426,0.8384,2024-06-03 06:04:51,
0.9391,0.0108,1.8566,0,0.9753,0.9945,0.9874,0.3815,0.3815,0,0,0.774,0.9424,0.8373,2024-06-03 06:14:46,
0.9275,0.0109,1.8331,0,0.9752,0.9945,0.9873,0.378,0.378,0,0,0.7754,0.9428,0.8394,2024-06-03 06:24:42,
1.0164,0.0109,2.011,0,0.9757,0.9945,0.9876,0.3788,0.3788,0,0,0.7772,0.9431,0.8409,2024-06-03 06:34:30,
1.0126,0.0109,2.0036,0,0.9753,0.9945,0.9874,0.3905,0.3905,0,0,0.7726,0.9419,0.8362,2024-06-03 06:44:28,
0.9923,0.0109,1.9628,0,0.9749,0.9945,0.9871,0.3787,0.3787,0,0,0.7756,0.9428,0.8392,2024-06-03 06:54:24,
0.9585,0.0109,1.8953,0,0.9749,0.9945,0.9872,0.3902,0.3902,0,0,0.7711,0.9417,0.8344,2024-06-03 07:04:18,
0.9507,0.0109,1.8794,0,0.9749,0.9945,0.9871,0.3886,0.3886,0,0,0.7732,0.9419,0.8365,2024-06-03 07:14:19,
0.9554,0.0109,1.8889,0,0.9751,0.9945,0.9873,0.3748,0.3748,0,0,0.7765,0.943,0.8404,2024-06-03 07:24:10,
0.9604,0.0108,1.8993,0,0.9755,0.9946,0.9874,0.384,0.384,0,0,0.7735,0.9422,0.8371,2024-06-03 07:34:05,
2.2943,0.0583,4.472,0,0.9273,0.9838,0.954,0.0873,0.0873,0,0,0.9374,0.984,0.9624,2024-06-03 08:36:27,0.0
2.1788,0.0587,4.2402,0,0.9277,0.9837,0.9542,0.0873,0.0873,0,0,0.9383,0.984,0.963,2024-06-03 09:04:58,0.0
2.0007,0.0586,3.8842,0,0.928,0.9839,0.9542,0.0871,0.0871,0,0,0.9381,0.984,0.963,2024-06-03 09:33:36,0.0
1.8824,0.0589,3.6471,0,0.9281,0.984,0.9544,0.0883,0.0883,0,0,0.9373,0.9839,0.9623,2024-06-03 10:01:54,0.0
1.8521,0.0596,3.585,0,0.9271,0.9837,0.9538,0.0876,0.0876,0,0,0.938,0.9839,0.9628,2024-06-03 10:30:20,0.0
1.829,0.0594,3.5393,0,0.9276,0.9837,0.9541,0.0872,0.0872,0,0,0.9384,0.984,0.9632,2024-06-03 10:58:48,0.0
1.8195,0.0586,3.5219,0,0.9287,0.9837,0.955,0.0878,0.0878,0,0,0.9374,0.9839,0.9624,2024-06-03 11:27:34,0.0
1.7867,0.0568,3.4598,0,0.9277,0.9841,0.9541,0.0878,0.0878,0,0,0.9375,0.9839,0.9624,2024-06-03 11:56:36,0.0
1.7689,0.0585,3.4207,0,0.9273,0.9838,0.9537,0.0873,0.0873,0,0,0.9378,0.984,0.9627,2024-06-03 12:25:35,0.0
1.7527,0.0589,3.3876,0,0.9283,0.9839,0.9546,0.0874,0.0874,0,0,0.9379,0.984,0.9628,2024-06-03 12:54:49,0.0
1.7365,0.0578,3.3574,0,0.9282,0.984,0.9545,0.0874,0.0874,0,0,0.9375,0.984,0.9625,2024-06-03 13:24:15,0.0
1.7438,0.0586,3.3703,0,0.928,0.984,0.9543,0.0876,0.0876,0,0,0.9382,0.9839,0.963,2024-06-03 13:54:00,0.0
1.7106,0.0572,3.3067,0,0.928,0.984,0.9543,0.0871,0.0871,0,0,0.9382,0.984,0.9631,2024-06-03 14:23:44,0.0
1.7144,0.0577,3.3134,0,0.9288,0.984,0.9555,0.0866,0.0866,0,0,0.9384,0.9841,0.9632,2024-06-03 14:53:44,0.0
1.703,0.0582,3.2896,0,0.928,0.9838,0.9544,0.0873,0.0873,0,0,0.9379,0.984,0.9628,2024-06-03 15:23:52,0.0
1.6560,0.0579,3.1962,0,0.9279,0.9840,0.9544,0.0872,0.0872,0,0,0.9379,0.9840,0.9628,2024-06-03 15:53:49,0.0
