t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
5.5163,0.6896,9.3382,0.0394,0.7537,0.9223,0.8207,0.0418,0.0418,0,0,0.9325,0.9843,0.9634,2024-05-29 09:00:52
5.4548,0.682,9.2552,0.0363,0.7557,0.9229,0.822,0.0433,0.0433,0,0,0.9308,0.9841,0.9625,2024-05-29 09:53:13
5.4233,0.6889,9.1938,0.0344,0.7536,0.9222,0.8206,0.0429,0.0429,0,0,0.9316,0.9842,0.963,2024-05-29 10:45:21
5.5141,0.6881,9.3836,0.0335,0.7538,0.9223,0.8207,0.0426,0.0426,0,0,0.9325,0.9842,0.9635,2024-05-29 11:37:24
5.6215,0.6881,9.6215,0.0307,0.7536,0.9222,0.8207,0.0427,0.0427,0,0,0.9312,0.9841,0.9627,2024-05-29 12:30:16
5.7145,0.6854,9.8243,0.0292,0.7551,0.9227,0.8216,0.0446,0.0446,0,0,0.9314,0.9835,0.9629,2024-05-29 13:23:00
5.7853,0.688,9.9764,0.0273,0.7542,0.9225,0.821,0.0424,0.0424,0,0,0.9325,0.9843,0.9634,2024-05-29 14:15:39
5.8954,0.6895,10.1996,0.0265,0.7535,0.9222,0.8206,0.0434,0.0434,0,0,0.9312,0.9841,0.9627,2024-05-29 15:08:04
5.9401,0.6905,10.3001,0.0249,0.7533,0.9222,0.8204,0.0425,0.0425,0,0,0.9319,0.9842,0.9631,2024-05-29 15:59:37
5.9749,0.6877,10.3847,0.0237,0.7537,0.9224,0.8208,0.043,0.043,0,0,0.9322,0.9842,0.9633,2024-05-29 16:50:53
6.0388,0.6874,10.52,0.0228,0.7544,0.9226,0.8212,0.0429,0.0429,0,0,0.9317,0.9842,0.963,2024-05-29 17:42:12
6.1777,0.6877,10.8092,0.0213,0.7538,0.9224,0.8207,0.0434,0.0434,0,0,0.9309,0.9841,0.9626,2024-05-29 18:34:18
6.2298,0.6883,10.9147,0.0211,0.7541,0.9224,0.8209,0.0448,0.0448,0,0,0.9314,0.9835,0.9629,2024-05-29 19:26:16
6.0862,0.6875,10.6353,0.0203,0.7539,0.9222,0.8208,0.0428,0.0428,0,0,0.9318,0.9842,0.9631,2024-05-29 20:18:15
