t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
3.2957,0.3093,5.9729,0,0.0596,0.5207,0.0977,0.2624,0.2624,0,0,0.0,0.5,0.0,2024-05-29 19:38:19
3.4084,0.3057,6.2054,0,0.0316,0.5242,0.0534,0.2417,0.2417,0,0,0.0,0.5,0.0001,2024-05-29 19:46:10
2.5715,0.1635,4.816,0,0.2942,0.7416,0.3794,0.1812,0.1812,0,0,0.4401,0.8267,0.5334,2024-05-29 19:48:14
2.5581,0.1205,4.8753,0,0.4153,0.8258,0.4981,0.166,0.166,0,0,0.5462,0.8716,0.6422,2024-05-29 19:50:17
2.6204,0.0957,5.0493,0,0.5327,0.8721,0.6328,0.1659,0.1659,0,0,0.5655,0.8831,0.6506,2024-05-29 19:52:22
2.7096,0.0848,5.2495,0,0.5431,0.8798,0.6397,0.1688,0.1688,0,0,0.5815,0.8909,0.6687,2024-05-29 19:54:26
2.8255,0.0694,5.5121,0,0.6029,0.8968,0.7078,0.176,0.176,0,0,0.6147,0.9089,0.6955,2024-05-29 19:56:31
2.9546,0.0602,5.7888,0,0.6373,0.9165,0.7322,0.1636,0.1636,0,0,0.6349,0.9047,0.7245,2024-05-29 19:58:38
3.0465,0.0581,5.9768,0,0.6605,0.9204,0.7597,0.1727,0.1727,0,0,0.6348,0.9091,0.7185,2024-05-29 20:00:47
3.1458,0.0506,6.1903,0,0.6744,0.9256,0.7709,0.173,0.173,0,0,0.6602,0.915,0.7443,2024-05-29 20:02:55
3.2281,0.0479,6.3606,0,0.703,0.9328,0.7951,0.1938,0.1938,0,0,0.6328,0.9233,0.7067,2024-05-29 20:05:06
3.3091,0.0435,6.5313,0,0.7284,0.9386,0.8188,0.1767,0.1767,0,0,0.6861,0.9224,0.7651,2024-05-29 20:07:20
3.3788,0.0417,6.6743,0,0.7436,0.9436,0.8301,0.2018,0.2018,0,0,0.6782,0.9279,0.7516,2024-05-29 20:09:34
3.43,0.0395,6.781,0,0.754,0.9462,0.8398,0.1907,0.1907,0,0,0.6914,0.9272,0.7695,2024-05-29 20:11:50
3.4761,0.0378,6.8766,0,0.7651,0.9488,0.8491,0.1892,0.1892,0,0,0.7089,0.9271,0.7898,2024-05-29 20:14:08
3.5265,0.0372,6.9786,0,0.7736,0.95,0.8556,0.1977,0.1977,0,0,0.7031,0.9268,0.7806,2024-05-29 20:16:28
3.5687,0.0353,7.0669,0,0.7899,0.9526,0.8692,0.1886,0.1886,0,0,0.7188,0.9326,0.7965,2024-05-29 20:18:50
3.6112,0.0362,7.1499,0,0.7958,0.9541,0.8737,0.2094,0.2094,0,0,0.7012,0.9296,0.7763,2024-05-29 20:21:15
3.6455,0.0352,7.2206,0,0.7923,0.954,0.8707,0.1969,0.1969,0,0,0.6994,0.9305,0.7773,2024-05-29 20:23:42
3.6712,0.0315,7.2795,0,0.8050,0.9561,0.8814,0.1965,0.1965,0,0,0.7201,0.9298,0.7957,2024-05-29 20:26:13
