t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
0.5228,0.0439,0.2492,0.2492,0.0,0.0,0.0,0.5,0.0,2024-05-24 18:23:33,,,,,,
0.7515,0.3623,0.1901,0.1901,0.0,0.0,0.3665,0.8139,0.4219,2024-05-24 18:25:43,,,,,,
0.8315,0.4371,0.1963,0.1963,0.0,0.0,0.4248,0.8534,0.4751,2024-05-24 18:27:54,,,,,,
0.8589,0.4819,0.1926,0.1926,0.0,0.0,0.4654,0.8687,0.5264,2024-05-24 18:30:05,,,,,,
0.8696,0.5343,0.176,0.176,0.0,0.0,0.487,0.8808,0.5479,2024-05-24 18:32:18,,,,,,
0.8907,0.6014,0.1889,0.1889,0.0,0.0,0.5655,0.8969,0.647,2024-05-24 18:34:30,,,,,,
0.7865,0.0557,7.3075,0.0,0.5918,0.9089,0.6841,0.1815,0.1815,,0.0,0.0,0.5959,0.899,0.6824,2024-05-24 18:36:44
0.7865,0.0551,7.3136,0.0,0.6305,0.9176,0.7274,0.1838,0.1838,,0.0,0.0,0.64,0.8991,0.7398,2024-05-24 18:38:59
0.7837,0.0519,7.3175,0.0,0.6376,0.9167,0.7358,0.1733,0.1733,,0.0,0.0,0.6186,0.9063,0.7086,2024-05-24 18:41:16
0.7806,0.0468,7.3379,0.0,0.6719,0.9264,0.7666,0.1905,0.1905,,0.0,0.0,0.6616,0.915,0.7521,2024-05-24 18:43:35
0.7789,0.0441,7.3482,0.0,0.7093,0.9331,0.8042,0.1802,0.1802,,0.0,0.0,0.6769,0.9158,0.7719,2024-05-24 18:45:58
0.7767,0.0402,7.3651,0.0,0.7228,0.9381,0.8152,0.1892,0.1892,,0.0,0.0,0.685,0.9196,0.7752,2024-05-24 18:48:21
0.7745,0.0363,7.3824,0.0,0.7488,0.9428,0.8394,0.2041,0.2041,,0.0,0.0,0.6783,0.925,0.7648,2024-05-24 18:50:47
0.773,0.0331,7.3984,0.0,0.7592,0.9488,0.8445,0.1833,0.1833,,0.0,0.0,0.7162,0.925,0.8036,2024-05-24 18:53:13
0.7708,0.0326,7.382,0.0,0.7856,0.9518,0.8669,0.2174,0.2174,,0.0,0.0,0.7056,0.9302,0.79,2024-05-24 18:55:41
0.7729,0.0339,7.3898,0.0,0.791,0.9537,0.8709,0.193,0.193,,0.0,0.0,0.7219,0.9272,0.8074,2024-05-24 18:58:14
0.7736,0.0341,7.3957,0.0,0.7913,0.9527,0.8713,0.1952,0.1952,,0.0,0.0,0.7137,0.9255,0.8,2024-05-24 19:00:47
0.7732,0.0323,7.4091,0.0,0.7895,0.9534,0.8699,0.1907,0.1907,,0.0,0.0,0.7192,0.927,0.8063,2024-05-24 19:03:23
0.7719,0.0294,7.4251,0.0,0.7956,0.955,0.8745,0.1993,0.1993,,0.0,0.0,0.724,0.9293,0.808,2024-05-24 19:06:02
0.7713,0.0279,7.4344,0.0,0.8112,0.9591,0.8855,0.2033,0.2033,,0.0,0.0,0.7501,0.9332,0.832,2024-05-24 19:08:44
0.772,0.0277,7.4429,0.0,0.8248,0.9612,0.896,0.2045,0.2045,,0.0,0.0,0.7361,0.9323,0.817,2024-05-24 19:11:29
0.7702,0.0256,7.4454,0.0,0.8254,0.9625,0.8956,0.199,0.199,,0.0,0.0,0.7448,0.9311,0.8264,2024-05-24 19:14:16
0.769,0.0244,7.446,0.0,0.8368,0.9641,0.9043,0.2168,0.2168,,0.0,0.0,0.744,0.9354,0.8247,2024-05-24 19:17:08
0.7693,0.0247,7.4459,0.0,0.8458,0.9659,0.9107,0.2107,0.2107,,0.0,0.0,0.7568,0.9354,0.838,2024-05-24 19:20:03
0.7697,0.0226,7.4705,0.0,0.847,0.9663,0.9108,0.2171,0.2171,,0.0,0.0,0.7501,0.9356,0.8293,2024-05-24 19:23:01
0.7687,0.022,7.4667,0.0,0.8536,0.9681,0.9157,0.2343,0.2343,,0.0,0.0,0.7431,0.9367,0.8225,2024-05-24 19:26:06
0.7666,0.0209,7.4568,0.0,0.8571,0.9694,0.9176,0.2239,0.2239,,0.0,0.0,0.7579,0.939,0.8367,2024-05-24 19:29:17
0.7664,0.0205,7.4585,0.0,0.8615,0.9707,0.9204,0.2249,0.2249,,0.0,0.0,0.768,0.9391,0.8448,2024-05-24 19:32:29
0.7642,0.0196,7.446,0.0,0.8716,0.9714,0.9276,0.2222,0.2222,,0.0,0.0,0.7766,0.9388,0.853,2024-05-24 19:35:48
0.7637,0.0197,7.4404,0.0,0.8768,0.9727,0.9307,0.2389,0.2389,,0.0,0.0,0.7619,0.9387,0.8394,2024-05-24 19:39:10
0.7639,0.0202,7.4368,0.0,0.8764,0.9728,0.9307,0.2193,0.2193,,0.0,0.0,0.7784,0.9393,0.8536,2024-05-24 19:42:39
0.7617,0.0188,7.429,0.0,0.8778,0.9733,0.9316,0.23,0.23,,0.0,0.0,0.7719,0.9402,0.8483,2024-05-24 19:46:13
0.7596,0.018,7.4162,0.0,0.8802,0.9743,0.9329,0.2364,0.2364,,0.0,0.0,0.7738,0.9411,0.8506,2024-05-24 19:49:52
0.7595,0.0184,7.4109,0.0,0.8861,0.9749,0.9367,0.2268,0.2268,,0.0,0.0,0.7865,0.9405,0.8615,2024-05-24 19:53:33
0.7596,0.0178,7.4175,0.0,0.8854,0.9751,0.9361,0.2248,0.2248,,0.0,0.0,0.7889,0.9423,0.8642,2024-05-24 19:57:20
0.7577,0.0163,7.4135,0.0,0.8893,0.976,0.9388,0.2284,0.2284,,0.0,0.0,0.7863,0.9417,0.8627,2024-05-24 20:01:13
0.7571,0.0162,7.409,0.0,0.8959,0.9768,0.9428,0.2331,0.2331,,0.0,0.0,0.7871,0.942,0.8621,2024-05-24 20:05:06
0.756,0.0165,7.3953,0.0,0.896,0.9774,0.9428,0.2415,0.2415,,0.0,0.0,0.7845,0.9433,0.8608,2024-05-24 20:09:12
0.7548,0.016,7.3874,0.0,0.8975,0.9775,0.9438,0.2366,0.2366,,0.0,0.0,0.7895,0.9437,0.8636,2024-05-24 20:13:26
0.7538,0.0155,7.3825,0.0,0.9015,0.9782,0.9461,0.2383,0.2383,,0.0,0.0,0.7901,0.9443,0.8646,2024-05-24 20:17:43
0.752,0.0148,7.3717,0.0,0.9003,0.9787,0.9453,0.2442,0.2442,,0.0,0.0,0.7936,0.9434,0.867,2024-05-24 20:22:04
0.7506,0.0141,7.3651,0.0,0.9045,0.9792,0.9479,0.2352,0.2352,,0.0,0.0,0.8006,0.9433,0.8739,2024-05-24 20:26:35
0.7481,0.014,7.3416,0.0,0.9087,0.9796,0.9505,0.2461,0.2461,,0.0,0.0,0.7977,0.9451,0.8705,2024-05-24 20:31:11
0.7481,0.0146,7.3353,0.0,0.9092,0.9803,0.9508,0.2523,0.2523,,0.0,0.0,0.7892,0.9439,0.864,2024-05-24 20:35:38
0.7458,0.015,7.308,0.0,0.908,0.98,0.9496,0.2406,0.2406,,0.0,0.0,0.8013,0.9433,0.8744,2024-05-24 20:40:08
0.7441,0.0147,7.2945,0.0,0.9107,0.9801,0.9516,0.2534,0.2534,,0.0,0.0,0.7953,0.9438,0.8687,2024-05-24 20:44:28
0.7375,0.0135,7.2402,0.0,0.9095,0.9802,0.9509,0.2583,0.2583,,0.0,0.0,0.793,0.9442,0.8674,2024-05-24 20:48:59
0.7349,0.0134,7.2158,0.0,0.9123,0.981,0.9525,0.2448,0.2448,,0.0,0.0,0.8018,0.9444,0.8742,2024-05-24 20:53:24
0.7318,0.0132,7.1857,0.0,0.9146,0.9813,0.9539,0.2509,0.2509,,0.0,0.0,0.8047,0.9464,0.8759,2024-05-24 20:57:58
0.7262,0.0126,7.1356,0.0,0.9173,0.9816,0.9555,0.2569,0.2569,,0.0,0.0,0.802,0.9453,0.8746,2024-05-24 21:02:31
0.7234,0.0126,7.1081,0.0,0.918,0.9819,0.956,0.2634,0.2634,,0.0,0.0,0.7998,0.9456,0.8723,2024-05-24 21:07:05
0.7165,0.0133,7.0321,0.0,0.9177,0.9822,0.9557,0.258,0.258,,0.0,0.0,0.7998,0.9459,0.8719,2024-05-24 21:11:32
0.7095,0.0131,6.9649,0.0,0.9194,0.9823,0.9567,0.258,0.258,,0.0,0.0,0.8069,0.9463,0.8783,2024-05-24 21:16:06
0.705,0.0131,6.9194,0.0,0.9192,0.9822,0.9565,0.2633,0.2633,,0.0,0.0,0.8002,0.9455,0.8731,2024-05-24 21:20:37
0.6993,0.0126,6.8673,0.0,0.9196,0.9824,0.9569,0.2599,0.2599,,0.0,0.0,0.8071,0.9463,0.8789,2024-05-24 21:25:10
0.6902,0.0124,6.7784,0.0,0.922,0.9826,0.9583,0.2578,0.2578,,0.0,0.0,0.8039,0.9464,0.8757,2024-05-24 21:29:44
0.6835,0.0126,6.7088,0.0,0.9204,0.9827,0.9572,0.2798,0.2798,,0.0,0.0,0.7939,0.9444,0.8677,2024-05-24 21:34:14
0.678,0.0142,6.6378,0.0,0.9201,0.9824,0.9571,0.2735,0.2735,,0.0,0.0,0.7963,0.943,0.87,2024-05-24 21:38:42
0.6816,0.017,6.6463,0.0,0.9164,0.9809,0.955,0.2677,0.2677,,0.0,0.0,0.7833,0.9436,0.8584,2024-05-24 21:43:16
0.6752,0.02,6.5514,0.0,0.9066,0.9787,0.949,0.2447,0.2447,,0.0,0.0,0.7691,0.9406,0.8452,2024-05-24 21:47:45
0.675,0.0232,6.5178,0.0,0.8881,0.9741,0.9378,0.2371,0.2371,,0.0,0.0,0.7572,0.9371,0.835,2024-05-24 21:52:16
0.6672,0.0229,6.4434,0.0,0.871,0.9712,0.9266,0.2455,0.2455,,0.0,0.0,0.7439,0.933,0.8227,2024-05-24 21:56:48
0.6599,0.0242,6.357,0.0,0.87,0.9694,0.9263,0.2743,0.2743,,0.0,0.0,0.742,0.9326,0.8192,2024-05-24 22:01:20
0.6819,0.0517,6.3022,0.0,0.7994,0.9528,0.8689,0.1753,0.1753,,0.0,0.0,0.5202,0.874,0.6015,2024-05-24 22:05:49
0.6864,0.0648,6.2152,0.0,0.6735,0.9124,0.7654,0.1938,0.1938,,0.0,0.0,0.6421,0.9074,0.7268,2024-05-24 22:10:21
0.6682,0.0479,6.2023,0.0,0.7203,0.93,0.8143,0.199,0.199,,0.0,0.0,0.6191,0.9088,0.7008,2024-05-24 22:14:54
0.6373,0.0377,5.9952,0.0,0.7547,0.942,0.8419,0.2001,0.2001,,0.0,0.0,0.6674,0.9188,0.7506,2024-05-24 22:19:23
0.6277,0.0271,6.0053,0.0,0.8043,0.957,0.8813,0.2164,0.2164,,0.0,0.0,0.7023,0.927,0.7824,2024-05-24 22:23:52
0.6006,0.0215,5.791,0.0,0.8444,0.9658,0.9093,0.2223,0.2223,,0.0,0.0,0.7408,0.9317,0.8216,2024-05-24 22:28:20
0.5867,0.0179,5.688,0.0,0.8685,0.9715,0.9258,0.2312,0.2312,,0.0,0.0,0.7559,0.9345,0.8355,2024-05-24 22:32:50
0.5801,0.0156,5.6447,0.0,0.8846,0.9747,0.9359,0.2333,0.2333,,0.0,0.0,0.7688,0.9379,0.8458,2024-05-24 22:37:16
0.5577,0.0143,5.4347,0.0,0.8961,0.9775,0.9429,0.2465,0.2465,,0.0,0.0,0.7774,0.9374,0.8537,2024-05-24 22:41:47
0.5597,0.0137,5.4603,0.0,0.9046,0.9788,0.9481,0.2486,0.2486,,0.0,0.0,0.777,0.9392,0.8531,2024-05-24 22:46:23
0.5271,0.0131,5.1404,0.0,0.9078,0.9802,0.9498,0.2559,0.2559,,0.0,0.0,0.784,0.9404,0.8599,2024-05-24 22:50:52
0.5041,0.013,4.9114,0.0,0.9128,0.9809,0.9529,0.2555,0.2555,,0.0,0.0,0.7861,0.9405,0.8612,2024-05-24 22:55:25
0.4793,0.0121,4.6725,0.0,0.9153,0.9813,0.9544,0.2651,0.2651,,0.0,0.0,0.7837,0.9406,0.8588,2024-05-24 22:59:55
0.4576,0.0121,4.4554,0.0,0.9178,0.982,0.9558,0.2696,0.2696,,0.0,0.0,0.7838,0.9418,0.8589,2024-05-24 23:04:24
0.4323,0.0121,4.2022,0.0,0.9189,0.9826,0.9564,0.2683,0.2683,,0.0,0.0,0.7922,0.9404,0.8665,2024-05-24 23:08:51
0.4406,0.0147,4.2589,0.0,0.9188,0.9816,0.9563,0.2877,0.2877,,0.0,0.0,0.7774,0.9369,0.8532,2024-05-24 23:13:21
0.4206,0.0219,3.9867,0.0,0.9015,0.9787,0.9458,0.2478,0.2478,,0.0,0.0,0.759,0.9391,0.8322,2024-05-24 23:17:44
0.4227,0.024,3.9862,0.0,0.8834,0.973,0.9339,0.3183,0.3183,,0.0,0.0,0.6845,0.9189,0.7548,2024-05-24 23:22:12
0.3946,0.0276,3.6707,0.0,0.8586,0.9658,0.9182,0.2276,0.2276,,0.0,0.0,0.7234,0.9247,0.8086,2024-05-24 23:26:47
0.3761,0.0232,3.5286,0.0,0.8539,0.9658,0.9155,0.2324,0.2324,,0.0,0.0,0.7263,0.9278,0.8061,2024-05-24 23:31:21
0.3648,0.0192,3.4558,0.0,0.8717,0.9709,0.9277,0.252,0.252,,0.0,0.0,0.7268,0.9333,0.8017,2024-05-24 23:35:48
0.3464,0.0158,3.3066,0.0,0.8896,0.9751,0.9391,0.2527,0.2527,,0.0,0.0,0.7536,0.9376,0.829,2024-05-24 23:40:16
0.3298,0.0135,3.1635,0.0,0.9018,0.9784,0.9465,0.2643,0.2643,,0.0,0.0,0.755,0.9392,0.8302,2024-05-24 23:44:42
0.3177,0.0122,3.0551,0.0,0.91,0.9803,0.9513,0.2766,0.2766,,0.0,0.0,0.7612,0.9405,0.8356,2024-05-24 23:49:13
0.3311,0.0113,3.1986,0.0,0.917,0.982,0.9554,0.2838,0.2838,,0.0,0.0,0.7739,0.9419,0.8468,2024-05-24 23:53:36
