t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
4.0577,0.2612,7.5931,0,0.1477,0.6205,0.2008,0.1619,0.1619,0,0,0.3527,0.7967,0.4231,2024-05-23 14:36:26
3.8379,0.152,7.3718,0,0.462,0.8203,0.5713,0.1421,0.1421,0,0,0.465,0.837,0.57,2024-05-23 14:39:45
3.7525,0.1185,7.2679,0,0.569,0.8581,0.6838,0.1312,0.1312,0,0,0.6201,0.8823,0.7332,2024-05-23 14:43:05
3.7265,0.0949,7.2632,0,0.6326,0.8859,0.7435,0.1193,0.1193,0,0,0.6715,0.9059,0.7761,2024-05-23 14:46:26
3.729,0.0787,7.3006,0,0.6991,0.9146,0.7973,0.134,0.134,0,0,0.6808,0.9063,0.783,2024-05-23 14:50:06
3.7446,0.0675,7.3543,0,0.7351,0.927,0.828,0.1398,0.1398,0,0,0.709,0.9184,0.8072,2024-05-23 14:53:59
3.7687,0.0679,7.4018,0,0.7334,0.9278,0.828,0.1252,0.1252,0,0,0.719,0.9135,0.8211,2024-05-23 14:57:49
3.7745,0.0562,7.4367,0,0.7606,0.9359,0.8486,0.1372,0.1372,0,0,0.7551,0.9199,0.8489,2024-05-23 15:01:50
3.7878,0.053,7.4696,0,0.7804,0.9435,0.8635,0.134,0.134,0,0,0.7394,0.9357,0.8273,2024-05-23 15:06:15
3.7929,0.0459,7.4941,0,0.7956,0.9493,0.8727,0.1409,0.1409,0,0,0.7517,0.9344,0.842,2024-05-23 15:10:46
3.7933,0.0427,7.5012,0,0.8156,0.9536,0.8896,0.1366,0.1366,0,0,0.7505,0.939,0.8371,2024-05-23 15:15:46
3.7893,0.0402,7.4984,0,0.824,0.9564,0.8956,0.1331,0.1331,0,0,0.7618,0.9402,0.8479,2024-05-23 15:21:04
3.7853,0.0372,7.4962,0,0.8313,0.9583,0.8993,0.1485,0.1485,0,0,0.7746,0.9399,0.8565,2024-05-23 15:26:55
3.7848,0.0369,7.4958,0,0.8411,0.9614,0.9069,0.1557,0.1557,0,0,0.773,0.9373,0.8568,2024-05-23 15:32:46
