t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
3.9783,0.3867,7.1833,0,0.1275,0.5948,0.1773,356.9213,356.9213,0,0,0.4345,0.8691,0.4645,2024-05-22 18:43:19
3.824,0.2876,7.0727,0,0.3118,0.768,0.3829,9514.5645,9514.5645,0,0,0.4345,0.8691,0.4645,2024-05-22 18:45:41
4.1354,0.3229,7.6251,0,0.3531,0.8026,0.4129,1415.7091,1415.7091,0,0,0.486,0.7244,0.6351,2024-05-22 18:48:04
4.4674,0.4585,8.0176,0,0.4104,0.7725,0.5284,19074.2358,19074.2358,0,0,0.4486,0.8725,0.486,2024-05-22 18:50:33
4.4925,0.3708,8.2434,0,0.2957,0.7415,0.3809,17634.7247,17634.7247,0,0,0.4345,0.8691,0.4645,2024-05-22 18:53:08
4.6715,0.5091,8.3248,0,0.3253,0.7736,0.3928,17444.8973,17444.8973,0,0,0.4345,0.8691,0.4645,2024-05-22 18:55:49
4.4319,0.2864,8.291,0,0.2212,0.6898,0.3043,18301.6255,18301.6255,0,0,0.4345,0.8691,0.4645,2024-05-22 18:58:41
4.4376,0.315,8.2452,0,0.2019,0.6735,0.2864,18163.5009,18163.5009,0,0,0.4345,0.8691,0.4645,2024-05-22 19:01:41
4.3643,0.2804,8.1678,0,0.2279,0.696,0.3111,15667.6947,15667.6947,0,0,0.4345,0.8691,0.4645,2024-05-22 19:04:53
4.312,0.2661,8.0917,0,0.3025,0.7599,0.3751,12820.9941,12820.9941,0,0,0.4345,0.8691,0.4645,2024-05-22 19:08:15
4.2899,0.2684,8.043,0,0.3515,0.8013,0.4121,15843.0577,15843.0577,0,0,0.4345,0.8691,0.4645,2024-05-22 19:11:52
4.2494,0.2521,7.9945,0,0.3526,0.8025,0.413,19673.3891,19673.3891,0,0,0.4345,0.8691,0.4645,2024-05-22 19:15:43
4.2246,0.2444,7.9605,0,0.3198,0.7748,0.3893,9355.0094,9355.0094,0,0,0.4345,0.8691,0.4645,2024-05-22 19:19:50
4.202,0.2368,7.9303,0,0.2804,0.7409,0.3583,10765.2822,10765.2822,0,0,0.4345,0.8691,0.4645,2024-05-22 19:24:08
4.1807,0.231,7.8995,0,0.259,0.7229,0.3404,11206.2064,11206.2064,0,0,0.4345,0.8691,0.4645,2024-05-22 19:28:39
4.1627,0.2227,7.88,0,0.2653,0.7283,0.3456,9469.8351,9469.8351,0,0,0.4345,0.8691,0.4645,2024-05-22 19:33:35
4.1486,0.2182,7.8608,0,0.317,0.7726,0.387,9642.0697,9642.0697,0,0,0.4345,0.8691,0.4645,2024-05-22 19:38:55
4.1463,0.2252,7.8422,0,0.3489,0.7995,0.4115,7701.1442,7701.1442,0,0,0.4345,0.8691,0.4645,2024-05-22 19:44:30
4.1363,0.2211,7.8305,0,0.3528,0.8023,0.4149,8641.0494,8641.0494,0,0,0.4345,0.8691,0.4645,2024-05-22 19:50:36
4.1295,0.2196,7.8198,0,0.3175,0.7732,0.3876,13234.1992,13234.1992,0,0,0.4345,0.8691,0.4645,2024-05-22 19:57:12
4.1128,0.2096,7.8063,0,0.2388,0.7057,0.3222,7587.4123,7587.4123,0,0,0.4345,0.8691,0.4645,2024-05-22 20:04:11
4.1000,0.2165,7.7669,0,0.1928,0.6654,0.2783,13448.1072,13448.1072,0,0,0.4345,0.8691,0.4645,2024-05-22 20:11:00
